latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
37.5607,-8.1085,321.1,1.3,1.1,2024-01-16,1037,Terra,MODIS,74,61.03,285.2,27.3,D,0
39.5393,-8.685,302,1,1,2024-01-21,1402,Aqua,MODIS,50,61.03,286.1,6.3,D,0
37.556,-8.1182,304.4,1.5,1.2,2024-01-23,1346,Aqua,MODIS,59,61.03,291,10.3,D,0
38.5153,-7.8904,305.9,1.2,1.1,2024-01-24,1106,Terra,MODIS,62,61.03,289.2,9.8,D,0
40.8741,-8.2367,315.5,1,1,2024-01-26,1049,Terra,MODIS,76,61.03,286.2,16.4,D,0
40.9667,-8.0552,304.6,1.1,1,2024-01-26,1413,Aqua,MODIS,56,61.03,291.6,6.3,D,0
40.9736,-8.0498,301.5,1.1,1,2024-01-26,1413,Aqua,MODIS,47,61.03,290.4,5.7,D,0
40.4627,-7.5204,305.9,1.4,1.2,2024-01-29,1112,Terra,MODIS,62,61.03,280.7,16.7,D,0
40.86,-8.2538,326.9,1.3,1.1,2024-01-29,1112,Terra,MODIS,85,61.03,284.6,39.5,D,0
40.8627,-8.2682,311.8,1.3,1.1,2024-01-29,1112,Terra,MODIS,72,61.03,284.8,18.3,D,0
42.0587,-8.2137,301.1,1.4,1.2,2024-01-29,2217,Terra,MODIS,38,61.03,278.6,12.7,N,0
40.9718,-8.0371,303.8,1.5,1.2,2024-01-30,1342,Aqua,MODIS,57,61.03,286.9,11.1,D,0
40.8769,-8.2769,308.9,1,1,2024-01-31,1055,Terra,MODIS,68,61.03,285.7,10.4,D,0
41.6479,-8.1009,302,1,1,2024-01-31,1055,Terra,MODIS,50,61.03,284.6,6,D,0
41.6617,-8.1337,302,1,1,2024-01-31,1055,Terra,MODIS,49,61.03,285.6,6,D,0
41.1382,-8.4818,300.9,1,1,2024-01-31,1055,Terra,MODIS,43,61.03,286.1,5.1,D,0
41.8635,-7.7507,307.4,1.5,1.2,2024-01-31,1423,Aqua,MODIS,65,61.03,289.4,14.2,D,0
41.858,-8.5935,301.3,1.3,1.1,2024-01-31,1423,Aqua,MODIS,46,61.03,289.6,6.3,D,0
41.8596,-8.5786,334.6,1.3,1.1,2024-01-31,1423,Aqua,MODIS,89,61.03,289.8,53.5,D,0
