latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
18.0041,-66.9865,315.3,2.7,1.6,2024-01-09,1847,Aqua,MODIS,59,61.03,299.7,25,D,0
17.9953,-67.0033,317.6,2.7,1.6,2024-01-09,1847,Aqua,MODIS,59,61.03,300.1,34.5,D,0
18.0015,-67.0115,314.4,2.7,1.6,2024-01-09,1847,Aqua,MODIS,54,61.03,299.6,21.1,D,0
18.0389,-66.2732,316.2,1.5,1.2,2024-01-11,1832,Aqua,MODIS,55,61.03,299.8,12.4,D,0
18.0371,-66.2881,315.6,1.5,1.2,2024-01-11,1832,Aqua,MODIS,32,61.03,299.8,11.7,D,0
18.032,-66.2974,312.7,1.1,1.1,2024-01-17,1440,Terra,MODIS,65,61.03,293.1,8.6,D,0
18.0336,-66.3081,316.5,1.1,1.1,2024-01-17,1440,Terra,MODIS,71,61.03,293.1,12.8,D,0
18.0227,-66.5277,318,1.8,1.3,2024-01-23,1837,Aqua,MODIS,65,61.03,306.1,13.4,D,2
18.0257,-66.262,331.9,1.1,1,2024-01-29,1436,Terra,MODIS,81,61.03,297.6,28.3,D,0
18.0166,-66.2596,322.3,1.1,1,2024-01-29,1436,Terra,MODIS,64,61.03,298.3,16.6,D,0
17.9462,-66.1635,321,1.2,1.1,2024-03-03,1440,Terra,MODIS,0,61.03,298.3,15.9,D,2
17.9444,-66.152,321.6,1.3,1.1,2024-03-03,1440,Terra,MODIS,0,61.03,299.6,16,D,2
18.2912,-67.1356,312.4,1.4,1.2,2024-03-08,1446,Terra,MODIS,56,61.03,299.9,8.7,D,2
18.2866,-67.133,308.7,1.1,1.1,2024-03-12,0202,Terra,MODIS,75,61.03,294.4,9.1,N,2
18.0433,-66.5766,321,1.4,1.2,2024-03-17,1804,Aqua,MODIS,49,61.03,304.5,12.8,D,2
18.4499,-66.3884,316.5,1.3,1.1,2024-03-20,1441,Terra,MODIS,56,61.03,301.7,10.9,D,2
17.9675,-67.1416,343.5,1.1,1,2024-03-20,1829,Aqua,MODIS,69,61.03,304,42.9,D,0
18.2541,-66.6547,309.1,1.4,1.2,2024-04-06,1443,Terra,MODIS,34,61.03,296.6,6.2,D,0
18.2493,-66.6428,308.7,1.2,1.1,2024-04-18,1437,Terra,MODIS,51,61.03,293.9,6.4,D,0
18.2009,-66.8264,308.4,1.1,1.1,2024-04-18,1437,Terra,MODIS,50,61.03,295.1,5.4,D,0
18.0332,-66.5979,322.3,1,1,2024-04-25,1426,Terra,MODIS,57,61.03,299.9,10,D,2
18.3292,-66.6579,310.4,1.2,1.1,2024-05-05,1437,Terra,MODIS,37,61.03,294.6,6.2,D,0
18.2297,-66.0325,314.8,3.3,1.7,2024-05-13,1745,Aqua,MODIS,43,61.03,298.4,37.4,D,2
18.0026,-66.5426,317.6,2,1.4,2024-05-15,1448,Terra,MODIS,58,61.03,298.4,18.7,D,0
17.9995,-66.5248,316.7,2,1.4,2024-05-15,1448,Terra,MODIS,56,61.03,299.2,17.2,D,2
18.2328,-66.0233,315.2,2.4,1.5,2024-05-18,1753,Aqua,MODIS,21,61.03,296.5,21.4,D,2
18.1489,-65.8307,315.5,1.4,1.2,2024-07-08,1809,Aqua,MODIS,32,61.03,298.4,10.1,D,2
18.0272,-66.2753,335.6,1,1,2024-08-09,1831,Aqua,MODIS,87,61.03,304.6,28.3,D,0
18.0182,-66.2683,307.1,1.2,1.1,2024-08-10,0209,Terra,MODIS,66,61.03,295.3,6.5,N,0
18.4312,-66.4797,310,1,1,2024-09-06,1423,Terra,MODIS,32,61.03,293,3.8,D,2
17.9642,-66.2663,335.7,1,1,2024-09-07,1825,Aqua,MODIS,82,61.03,287.4,30.6,D,2
18.2865,-67.1354,314.8,1.2,1.1,2024-09-16,1431,Terra,MODIS,50,61.03,303,7.8,D,2
18.0088,-66.3013,336.8,1,1,2024-09-17,1835,Aqua,MODIS,88,61.03,305.6,25.5,D,2
18.0191,-66.2933,351.6,1,1,2024-09-17,1835,Aqua,MODIS,96,61.03,306.4,54.9,D,2
18.0177,-66.3027,364.7,1,1,2024-09-17,1835,Aqua,MODIS,100,61.03,305,90,D,0
18.0164,-66.3122,327.1,1,1,2024-09-17,1835,Aqua,MODIS,38,61.03,303.1,14.6,D,0
18.0181,-66.2949,319.6,1.7,1.3,2024-09-20,1356,Terra,MODIS,12,61.03,298.4,17.3,D,2
18.4443,-66.3456,310.3,1.2,1.1,2024-10-03,1426,Terra,MODIS,42,61.03,296.5,5.9,D,2
18.1301,-65.8262,331.4,1.4,1.2,2024-10-11,1817,Aqua,MODIS,83,61.03,301.3,34.1,D,2
18.4025,-65.914,317.7,1.4,1.2,2024-10-11,1817,Aqua,MODIS,70,61.03,300.5,12.4,D,0
18.4422,-66.3524,319.8,1.4,1.2,2024-10-11,1817,Aqua,MODIS,70,61.03,299.9,16.9,D,2
18.4748,-66.3585,313.1,1,1,2024-10-20,1419,Terra,MODIS,57,61.03,298.1,5.4,D,0
