latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
25.8953,51.5448,302.2,1.3,1.2,2024-01-01,1759,Terra,MODIS,35,61.03,290.5,6.5,N,2
25.8916,51.5513,304.6,1,1,2024-01-02,2247,Aqua,MODIS,61,61.03,290.5,6.6,N,2
25.8976,51.5224,315.4,1.1,1,2024-01-04,1025,Aqua,MODIS,63,61.03,295.1,10.8,D,2
25.8945,51.5425,306,1.1,1,2024-01-04,1822,Terra,MODIS,66,61.03,290.2,8.1,N,2
25.901,51.5195,348.8,1.1,1,2024-01-04,1822,Terra,MODIS,100,61.03,290.2,69.1,N,2
25.9024,51.5303,314.5,1.1,1,2024-01-04,1822,Terra,MODIS,89,61.03,289,14.4,N,2
25.9007,51.5145,309.2,1.5,1.2,2024-01-04,2232,Aqua,MODIS,77,61.03,288.7,17.1,N,2
25.899,51.5288,355,1.5,1.2,2024-01-04,2232,Aqua,MODIS,100,61.03,290.3,128.6,N,2
25.8939,51.5448,310.3,1.4,1.2,2024-01-05,0629,Terra,MODIS,49,61.03,296.5,8.3,D,2
25.912,51.5493,302.6,1.9,1.3,2024-01-05,2313,Aqua,MODIS,13,61.03,288.7,12.7,N,2
25.8867,51.5473,311.5,1.1,1,2024-01-06,1010,Aqua,MODIS,27,61.03,298.8,6.2,D,2
25.8927,51.5437,307.8,1.1,1,2024-01-06,1805,Terra,MODIS,65,61.03,291.3,9.7,N,2
25.8894,51.5503,311.6,1.1,1,2024-01-08,0652,Terra,MODIS,64,61.03,298,6.7,D,2
24.9587,51.5823,317.9,1.1,1,2024-01-08,0652,Terra,MODIS,0,61.03,297.6,12.6,D,2
25.891,51.5399,309.3,1.1,1,2024-01-08,0652,Terra,MODIS,56,61.03,297.1,4.9,D,2
25.895,51.5399,301.5,1.3,1.2,2024-01-09,1829,Terra,MODIS,40,61.03,289.4,7.9,N,2
25.8915,51.5517,301.1,1.1,1,2024-01-09,2242,Aqua,MODIS,30,61.03,289.2,6,N,2
25.891,51.5508,309.5,1.1,1.1,2024-01-10,0635,Terra,MODIS,59,61.03,296.3,6.6,D,2
25.8925,51.5396,308.2,1.1,1.1,2024-01-10,0635,Terra,MODIS,55,61.03,295.9,5.7,D,2
25.8874,51.5451,315.5,1,1,2024-01-11,1020,Aqua,MODIS,61,61.03,299.7,7.8,D,2
25.8875,51.543,303.1,1,1,2024-01-11,1812,Terra,MODIS,28,61.03,291.5,5.1,N,2
25.8964,51.5414,304.2,1,1,2024-01-11,1812,Terra,MODIS,28,61.03,291.1,5.4,N,2
25.8906,51.54,314.1,1.2,1.1,2024-01-13,1005,Aqua,MODIS,35,61.03,301.1,7.1,D,2
25.8905,51.548,315.2,1,1,2024-01-15,0642,Terra,MODIS,68,61.03,298.3,9,D,2
25.9165,51.4917,308.7,1,1,2024-01-15,0642,Terra,MODIS,46,61.03,297.5,4.1,D,2
25.8985,51.5466,302.2,1.2,1.1,2024-01-16,2237,Aqua,MODIS,34,61.03,290.6,6.5,N,2
25.8936,51.5519,301.1,1.2,1.1,2024-01-19,2303,Aqua,MODIS,15,61.03,289.2,6.9,N,2
25.8957,51.5466,303.1,1.2,1.1,2024-01-19,2303,Aqua,MODIS,35,61.03,289.2,8.3,N,2
25.9148,51.4915,307.1,1,1,2024-01-20,0648,Terra,MODIS,51,61.03,296,3.9,D,2
25.888,51.5477,310.3,1,1,2024-01-20,0648,Terra,MODIS,58,61.03,296.5,5.7,D,2
25.8914,51.5452,305.3,1.2,1.1,2024-01-21,1825,Terra,MODIS,64,61.03,290.9,9.3,N,2
25.8891,51.5391,315.7,1.1,1,2024-01-23,1025,Aqua,MODIS,48,61.03,302.9,6.9,D,2
25.8931,51.5401,307.1,1,1,2024-01-23,1808,Terra,MODIS,70,61.03,291,8.5,N,2
25.9052,51.5041,301.7,1,1,2024-01-28,1814,Terra,MODIS,43,61.03,289.3,5.7,N,2
25.8929,51.5462,305.8,1,1,2024-01-28,1814,Terra,MODIS,66,61.03,286.7,8,N,2
25.8868,51.5424,316.4,1,1,2024-01-30,1020,Aqua,MODIS,50,61.03,300.4,6.5,D,2
25.8934,51.5501,300.4,1.3,1.1,2024-01-30,1757,Terra,MODIS,8,61.03,290.2,5,N,2
25.8912,51.537,301.6,1.3,1.2,2024-01-30,1757,Terra,MODIS,22,61.03,290,6,N,2
25.8961,51.5501,302.4,1.4,1.2,2024-01-31,2308,Aqua,MODIS,33,61.03,290,7.4,N,2
25.8872,51.546,312.2,1.2,1.1,2024-02-04,1030,Aqua,MODIS,52,61.03,298.9,7.4,D,2
25.8902,51.5451,303.3,1.1,1.1,2024-02-04,1804,Terra,MODIS,54,61.03,288.5,7.3,N,2
25.8914,51.5439,313.7,1,1,2024-02-06,1014,Aqua,MODIS,55,61.03,299.4,6.5,D,2
25.8938,51.5434,300.5,1.2,1.1,2024-02-07,2302,Aqua,MODIS,28,61.03,288.2,6.9,N,2
25.8925,51.5416,311.2,1.2,1.1,2024-02-08,0633,Terra,MODIS,56,61.03,295.5,8.9,D,2
25.9044,51.549,331.5,1.6,1.2,2024-02-08,0959,Aqua,MODIS,72,61.03,299,50.2,D,2
25.8903,51.5419,307.6,1,1,2024-02-09,1810,Terra,MODIS,72,61.03,290,9,N,2
25.9083,51.4784,301.5,1,1,2024-02-09,1810,Terra,MODIS,40,61.03,286,6.2,N,2
24.9598,51.5561,301.8,1.7,1.3,2024-02-12,1833,Terra,MODIS,41,61.03,286.9,11.7,N,2
24.9581,51.5399,301.4,1.7,1.3,2024-02-12,1833,Terra,MODIS,40,61.03,287,11.6,N,0
24.9593,51.5495,304.5,1.7,1.3,2024-02-12,1833,Terra,MODIS,60,61.03,287.2,16.1,N,0
25.916,51.4924,306.3,1,1,2024-02-13,0640,Terra,MODIS,37,61.03,294.5,4.2,D,2
25.8899,51.5492,311.2,1,1,2024-02-13,0640,Terra,MODIS,40,61.03,294.8,7.2,D,2
25.889,51.5384,312.9,1.2,1.1,2024-02-13,1009,Aqua,MODIS,56,61.03,298.9,8.1,D,2
25.8954,51.5406,306.9,1,1,2024-02-14,1816,Terra,MODIS,67,61.03,292.4,7,N,2
25.9196,51.5161,343.1,1,1,2024-02-14,1816,Terra,MODIS,100,61.03,293.5,50.3,N,2
25.9182,51.506,331,1,1,2024-02-14,1816,Terra,MODIS,100,61.03,292.5,30.9,N,2
25.9254,51.5171,370,1,1,2024-02-14,2256,Aqua,MODIS,100,61.03,295.3,120.5,N,0
25.9165,51.5154,313.5,1,1,2024-02-14,2256,Aqua,MODIS,67,61.03,292.5,11.5,N,2
25.8878,51.5401,302.1,1.2,1.1,2024-02-16,1759,Terra,MODIS,35,61.03,291.9,5.2,N,2
25.91,51.4981,314.6,4,1.9,2024-02-17,0937,Aqua,MODIS,58,61.03,292.3,47.6,D,2
25.8875,51.5505,310.1,1,1,2024-02-18,0646,Terra,MODIS,19,61.03,297,5,D,2
25.889,51.5468,316.4,1,1,2024-02-18,1018,Aqua,MODIS,64,61.03,301.1,8,D,2
25.8845,51.5494,316.1,2.1,1.4,2024-02-21,0709,Terra,MODIS,56,61.03,297.4,27.2,D,2
25.8899,51.5478,304.2,1.1,1,2024-02-21,1806,Terra,MODIS,59,61.03,290.8,6.3,N,2
25.889,51.5413,302.4,1,1,2024-02-26,1812,Terra,MODIS,46,61.03,290.6,5.3,N,2
25.886,51.5463,315.1,1,1,2024-03-01,1022,Aqua,MODIS,55,61.03,302.1,6.3,D,2
25.3859,50.7943,307,1.3,1.1,2024-03-04,1801,Terra,MODIS,70,61.03,288.1,12,N,0
25.3761,50.7964,318,1.3,1.1,2024-03-04,1801,Terra,MODIS,96,61.03,288.7,23.4,N,0
25.8981,51.5437,302.6,2.5,1.5,2024-03-05,1842,Terra,MODIS,17,61.03,289.1,19.1,N,2
25.9054,51.5083,313.9,1,1,2024-03-06,0648,Terra,MODIS,60,61.03,300.8,6.8,D,2
25.89,51.5475,314.6,1,1,2024-03-06,0648,Terra,MODIS,45,61.03,300,6.8,D,2
