latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-0.9294,15.9489,317.9,1,1,2024-01-01,0849,Terra,MODIS,75,61.03,290.6,11.9,D,0
-0.9281,15.9399,315.5,1,1,2024-01-01,0849,Terra,MODIS,73,61.03,290.5,9.7,D,0
-0.5493,16.0696,312.7,1,1,2024-01-01,0849,Terra,MODIS,70,61.03,292.7,6.5,D,0
-4.8905,11.9132,310.7,1.1,1,2024-01-01,1308,Aqua,MODIS,0,61.03,284.5,5.1,D,2
-2.1421,16.0903,325.3,1.3,1.1,2024-01-01,1309,Aqua,MODIS,79,61.03,296.4,23,D,0
-2.1404,16.1018,318.2,1.3,1.1,2024-01-01,1309,Aqua,MODIS,70,61.03,297.6,12.1,D,0
-2.4553,15.1549,314.8,1.1,1.1,2024-01-01,1309,Aqua,MODIS,69,61.03,288.6,11.8,D,0
-4.8608,12.0215,319.1,1,1,2024-01-01,2108,Terra,MODIS,98,61.03,291.4,15.4,N,2
-4.8596,12.0305,308.4,1,1,2024-01-01,2108,Terra,MODIS,74,61.03,291.1,6.8,N,2
-3.5585,15.3437,318.5,1.1,1,2024-01-03,1253,Aqua,MODIS,71,61.03,295.3,12,D,0
-2.4404,14.8565,315.4,1.1,1,2024-01-03,1253,Aqua,MODIS,63,61.03,294.7,8.7,D,0
-2.4208,15.309,313.5,1.1,1,2024-01-03,1253,Aqua,MODIS,51,61.03,294.6,7,D,0
-2.4021,15.4395,329.7,1.1,1,2024-01-03,1253,Aqua,MODIS,82,61.03,299.6,21.6,D,0
-2.4283,15.3864,316.1,1.1,1,2024-01-03,1253,Aqua,MODIS,56,61.03,299.3,6.9,D,0
-2.4436,15.4739,316.9,1,1,2024-01-03,1253,Aqua,MODIS,65,61.03,292,9.2,D,0
-2.4962,15.1756,324.6,1.1,1,2024-01-03,1253,Aqua,MODIS,77,61.03,294.4,17.8,D,0
-2.4948,15.185,317.3,1.1,1,2024-01-03,1253,Aqua,MODIS,66,61.03,293.2,9.6,D,0
-2.4331,15.9254,322.6,1,1,2024-01-03,1253,Aqua,MODIS,59,61.03,303,9.6,D,0
-2.4318,15.9344,323.6,1,1,2024-01-03,1253,Aqua,MODIS,66,61.03,301.6,12,D,0
-2.584,15.3253,322.8,1.1,1,2024-01-03,1253,Aqua,MODIS,52,61.03,304.4,11.7,D,0
-2.5932,15.3267,322.5,1.1,1,2024-01-03,1253,Aqua,MODIS,63,61.03,303.4,10.9,D,0
-2.5927,15.7795,318.9,1,1,2024-01-03,1253,Aqua,MODIS,68,61.03,299.5,8.9,D,0
-2.6702,15.363,327.6,1.1,1,2024-01-03,1253,Aqua,MODIS,80,61.03,297.5,20.7,D,0
-2.6688,15.3724,324.2,1.1,1,2024-01-03,1253,Aqua,MODIS,76,61.03,297.9,16.6,D,0
