latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
35.0923,128.859,300.1,1.1,1.1,2024-01-03,0450,Aqua,MODIS,0,61.03,284.9,6.6,D,2
36.9915,126.7026,303.8,1.3,1.1,2024-01-05,1814,Aqua,MODIS,57,61.03,274.2,15.7,N,2
36.9816,126.6966,306.3,1.1,1,2024-01-06,0516,Aqua,MODIS,63,61.03,284,10.7,D,2
36.9831,126.7087,304.3,1.1,1,2024-01-06,0516,Aqua,MODIS,51,61.03,284.2,9.3,D,2
36.9832,126.7112,306.6,1.1,1.1,2024-01-15,0143,Terra,MODIS,60,61.03,278.9,13.3,D,2
36.9836,126.7018,307.8,1.2,1.1,2024-01-15,0456,Aqua,MODIS,62,61.03,281.3,14.4,D,2
36.9806,126.7078,305.7,1.2,1.1,2024-01-15,0456,Aqua,MODIS,35,61.03,281.2,11.4,D,2
36.9846,126.7022,301.4,1,1,2024-01-25,0156,Terra,MODIS,46,61.03,276.6,8.3,D,2
36.9805,126.7014,306,1.2,1.1,2024-01-27,0139,Terra,MODIS,54,61.03,279.3,13.4,D,2
36.9846,126.6927,303,1.1,1,2024-01-27,0501,Aqua,MODIS,30,61.03,282.4,7.6,D,2
36.9854,126.7091,301.1,1.1,1.1,2024-01-30,0202,Terra,MODIS,39,61.03,281.3,8.8,D,2
36.9838,126.698,318.2,1,1,2024-02-08,0505,Aqua,MODIS,74,61.03,285.2,19,D,2
36.9858,126.706,300.6,1.2,1.1,2024-02-09,1317,Terra,MODIS,30,61.03,275.6,12.7,N,2
35.2415,128.1537,300.1,1.3,1.1,2024-02-10,0449,Aqua,MODIS,30,61.03,286.5,7.2,D,0
35.5572,128.0327,305.1,1.2,1.1,2024-02-11,0158,Terra,MODIS,0,61.03,278.4,13,D,0
36.9881,126.7073,308.3,1.1,1.1,2024-02-13,0141,Terra,MODIS,46,61.03,287.9,10.8,D,2
37.0243,128.3183,300.1,1.2,1.1,2024-02-13,0515,Aqua,MODIS,28,61.03,289.8,4.8,D,2
35.5784,126.7222,300.5,1,1,2024-02-13,0515,Aqua,MODIS,38,61.03,288.7,3.1,D,0
36.9848,126.6981,310.5,1,1,2024-02-13,0515,Aqua,MODIS,61,61.03,290.8,9.6,D,2
34.7482,126.1416,314.9,1.2,1.1,2024-02-16,0204,Terra,MODIS,47,61.03,281,21.1,D,0
