latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
44.9773,23.5084,322.1,2,1.4,2024-01-02,1225,Aqua,MODIS,81,61.03,283.3,63,D,0
47.4088,27.1606,325.5,1.4,1.2,2024-01-05,1113,Aqua,MODIS,84,61.03,281.1,41.6,D,0
45.2203,27.2563,300.4,1.5,1.2,2024-01-05,1113,Aqua,MODIS,27,61.03,285.8,9,D,0
45.1659,27.1677,308.8,2.3,1.5,2024-01-16,1215,Aqua,MODIS,48,61.03,278.4,39.5,D,0
44.4215,26.7801,312,1.5,1.2,2024-01-17,1118,Aqua,MODIS,68,61.03,273.5,24.4,D,0
44.4547,22.6245,315.1,1,1,2024-01-25,1154,Aqua,MODIS,75,61.03,280.7,15.6,D,0
44.7896,23.312,310.3,1,1,2024-01-25,1154,Aqua,MODIS,70,61.03,282.1,12.8,D,0
44.3905,22.6201,301.3,1.3,1.1,2024-01-25,1935,Terra,MODIS,40,61.03,276.4,12.3,N,0
44.6377,22.789,301.9,1.3,1.1,2024-01-27,1138,Aqua,MODIS,49,61.03,281.2,10,D,0
44.9211,22.8445,301.7,1.1,1,2024-01-30,1204,Aqua,MODIS,48,61.03,280.1,7.4,D,0
44.4422,23.7788,302.5,1.1,1,2024-01-30,1204,Aqua,MODIS,52,61.03,280.7,8.8,D,0
44.5469,22.871,302.3,1,1,2024-01-30,1204,Aqua,MODIS,52,61.03,280.6,8.2,D,0
44.9137,22.8601,311.7,1.1,1,2024-01-30,1204,Aqua,MODIS,72,61.03,281.3,14.6,D,0
44.9121,22.8469,325.2,1.1,1,2024-01-30,1204,Aqua,MODIS,84,61.03,282.4,28,D,0
47.8188,22.827,310.4,1.2,1.1,2024-01-31,0914,Terra,MODIS,70,61.03,274.1,17.8,D,0
44.7054,22.6955,303.9,2.9,1.6,2024-02-03,1907,Terra,MODIS,58,61.03,277.7,44.8,N,0
44.728,23.119,324.1,1.3,1.1,2024-02-04,1214,Aqua,MODIS,83,61.03,288,31.4,D,0
44.6777,23.2297,317.4,1.3,1.1,2024-02-04,1214,Aqua,MODIS,78,61.03,287.1,24.2,D,0
44.676,23.2132,305.6,1.3,1.1,2024-02-04,1214,Aqua,MODIS,62,61.03,286.9,10.9,D,0
44.7297,23.1354,311.3,1.3,1.1,2024-02-04,1214,Aqua,MODIS,57,61.03,286.9,14.7,D,0
45.3484,29.21,315.5,1.2,1.1,2024-02-05,1117,Aqua,MODIS,76,61.03,284.4,17.6,D,0
44.8088,28.1304,301.4,1.3,1.1,2024-02-05,1117,Aqua,MODIS,46,61.03,284.9,7.5,D,0
45.3509,29.2243,306.3,1.2,1.1,2024-02-05,1117,Aqua,MODIS,63,61.03,283.9,9.3,D,0
46.1121,27.7801,302.1,1.3,1.1,2024-02-05,1117,Aqua,MODIS,51,61.03,285.1,8.9,D,0
45.0747,24.021,333.1,1.6,1.3,2024-02-06,0824,Terra,MODIS,88,61.03,283.6,69.2,D,0
45.9129,24.0454,303.6,1.7,1.3,2024-02-06,0824,Terra,MODIS,43,61.03,284.6,15.3,D,0
45.0764,24.0012,325.4,1.7,1.3,2024-02-06,0824,Terra,MODIS,84,61.03,283.9,49.3,D,0
45.0635,24.0194,309.8,1.6,1.3,2024-02-06,0824,Terra,MODIS,69,61.03,283.4,21.3,D,0
45.0652,23.9995,306.9,1.7,1.3,2024-02-06,0824,Terra,MODIS,64,61.03,282.7,17.4,D,0
44.6501,23.2734,308,1,1,2024-02-06,1158,Aqua,MODIS,66,61.03,291.6,7.6,D,0
44.586,23.6073,301.7,1,1,2024-02-06,1158,Aqua,MODIS,49,61.03,288.4,4.6,D,0
44.5877,23.6199,309.6,1,1,2024-02-06,1158,Aqua,MODIS,69,61.03,287.4,9.7,D,0
44.4916,23.265,304.9,1,1,2024-02-06,1158,Aqua,MODIS,60,61.03,292.1,5.5,D,0
44.4421,23.3043,309.4,1,1,2024-02-06,1158,Aqua,MODIS,68,61.03,292.7,8.2,D,0
44.3985,23.1238,301.4,1,1,2024-02-06,1158,Aqua,MODIS,47,61.03,291.4,3.4,D,0
44.2881,23.0577,316,1,1,2024-02-06,1158,Aqua,MODIS,76,61.03,292.6,12.8,D,0
43.9778,23.1556,309.2,1,1,2024-02-06,1158,Aqua,MODIS,68,61.03,295,6.2,D,0
43.9979,23.4939,309.9,1,1,2024-02-06,1158,Aqua,MODIS,69,61.03,293.3,7.4,D,0
43.974,23.9307,311.1,1,1,2024-02-06,1158,Aqua,MODIS,71,61.03,291.6,9.3,D,0
43.863,24.8293,304.9,1.1,1,2024-02-06,1158,Aqua,MODIS,58,61.03,291.2,5.5,D,0
43.8539,24.8316,304.4,1.1,1,2024-02-06,1158,Aqua,MODIS,56,61.03,290.4,5.1,D,0
44.958,22.2519,301.1,1,1,2024-02-06,1158,Aqua,MODIS,44,61.03,287.2,4.7,D,0
45.0793,23.5742,330.5,1,1,2024-02-06,1158,Aqua,MODIS,87,61.03,286.2,30.6,D,0
45.0811,23.587,340.7,1,1,2024-02-06,1158,Aqua,MODIS,92,61.03,286.7,46.3,D,0
44.7516,21.8037,319.1,1,1,2024-02-06,1158,Aqua,MODIS,60,61.03,288.1,16.6,D,0
44.9417,23.6434,304,1,1,2024-02-06,1158,Aqua,MODIS,58,61.03,288.4,5.8,D,0
44.9154,23.5849,301.2,1,1,2024-02-06,1158,Aqua,MODIS,45,61.03,285.8,4.4,D,0
44.8091,23.0876,313,1,1,2024-02-06,1158,Aqua,MODIS,73,61.03,291.4,10.8,D,0
44.8108,23.1001,313.9,1,1,2024-02-06,1158,Aqua,MODIS,74,61.03,290.8,11.6,D,0
44.7961,23.3246,311.1,1,1,2024-02-06,1158,Aqua,MODIS,71,61.03,291.1,10.1,D,0
44.8559,23.7653,308.9,1,1,2024-02-06,1158,Aqua,MODIS,62,61.03,290.8,8,D,0
44.847,23.7677,319.8,1,1,2024-02-06,1158,Aqua,MODIS,80,61.03,292,17.6,D,0
44.7513,23.1351,307.5,1,1,2024-02-06,1158,Aqua,MODIS,66,61.03,290.9,7.1,D,0
44.709,23.1599,311.4,1,1,2024-02-06,1158,Aqua,MODIS,71,61.03,292.3,9.5,D,0
44.7107,23.1723,306.5,1,1,2024-02-06,1158,Aqua,MODIS,58,61.03,291.3,5.7,D,0
44.6965,23.2021,304.6,1,1,2024-02-06,1158,Aqua,MODIS,43,61.03,293.1,4.9,D,0
44.719,23.3643,321.8,1,1,2024-02-06,1158,Aqua,MODIS,81,61.03,287.4,19.4,D,0
44.8858,24.9188,302,1.1,1,2024-02-06,1158,Aqua,MODIS,50,61.03,290.4,4.5,D,0
44.6484,23.2609,303.7,1,1,2024-02-06,1158,Aqua,MODIS,57,61.03,291.4,4.9,D,0
44.5801,23.0353,304.7,1,1,2024-02-06,1158,Aqua,MODIS,60,61.03,290.1,5.6,D,0
46.657,23.8546,309.3,1.1,1,2024-02-06,1159,Aqua,MODIS,68,61.03,286.7,10.2,D,0
46.697,24.5602,302.9,1.1,1,2024-02-06,1159,Aqua,MODIS,54,61.03,285,7.6,D,0
46.5508,24.0449,334.4,1.1,1,2024-02-06,1159,Aqua,MODIS,89,61.03,289.9,38.5,D,0
46.5525,24.0586,308.5,1.1,1,2024-02-06,1159,Aqua,MODIS,67,61.03,286.9,9.3,D,0
46.4317,23.9003,301.9,1.1,1,2024-02-06,1159,Aqua,MODIS,50,61.03,290.1,4.7,D,0
46.4244,23.909,311.2,1.1,1,2024-02-06,1159,Aqua,MODIS,71,61.03,290.1,11.2,D,0
46.128,24.4762,316.5,1.1,1,2024-02-06,1159,Aqua,MODIS,77,61.03,278.1,17.2,D,0
46.1263,24.4624,306.7,1.1,1,2024-02-06,1159,Aqua,MODIS,53,61.03,278.9,8.9,D,0
46.2404,23.9846,317.3,1.1,1,2024-02-06,1159,Aqua,MODIS,77,61.03,288.2,17.1,D,0
46.2422,23.998,312.5,1.1,1,2024-02-06,1159,Aqua,MODIS,73,61.03,287.6,12.8,D,0
46.1188,24.4785,313.9,1.1,1,2024-02-06,1159,Aqua,MODIS,74,61.03,279.1,14.6,D,0
47.3877,22.8158,321.7,1,1,2024-02-06,1159,Aqua,MODIS,0,61.03,270,22.6,D,0
