latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-2.1463,29.2844,305.4,2,1.4,2024-01-06,1141,Aqua,MODIS,0,61.03,287.9,7.6,D,0
-2.2342,29.2587,322.2,1,1,2024-03-18,1205,Aqua,MODIS,74,61.03,300.8,12.2,D,0
-2.2431,29.2601,317.8,1,1,2024-03-18,1205,Aqua,MODIS,45,61.03,300.3,8.4,D,0
-1.5231,30.5798,311.9,1.2,1.1,2024-05-22,1218,Aqua,MODIS,63,61.03,296.4,6.3,D,0
-1.5844,30.4708,313.9,1.1,1,2024-05-24,1201,Aqua,MODIS,20,61.03,300,6,D,0
-1.8196,30.7221,315.2,1.3,1.1,2024-05-28,1934,Terra,MODIS,90,61.03,288.5,17.9,N,0
-1.8211,30.7111,332.9,1.3,1.1,2024-05-28,1934,Terra,MODIS,100,61.03,289.4,45.6,N,0
-1.8113,30.71,305.6,1.3,1.1,2024-05-28,1934,Terra,MODIS,65,61.03,288.2,9.6,N,0
-1.8645,30.7,305.9,1.3,1.1,2024-05-28,1934,Terra,MODIS,36,61.03,288,9.4,N,0
-1.8318,30.7189,311.1,1.3,1.1,2024-05-28,1934,Terra,MODIS,49,61.03,288,13.1,N,0
-1.822,30.7171,344.7,1.3,1.1,2024-05-28,1934,Terra,MODIS,100,61.03,289.9,71.6,N,0
-1.8235,30.706,322.4,1.3,1.1,2024-05-28,1934,Terra,MODIS,100,61.03,288.3,27.4,N,0
-1.8203,30.7091,326.9,1.2,1.1,2024-05-29,0755,Terra,MODIS,82,61.03,298.2,24.4,D,0
-1.8285,30.6972,312.7,1.2,1.1,2024-05-29,0755,Terra,MODIS,36,61.03,294.9,5.7,D,0
-1.8301,30.7078,312.9,1.2,1.1,2024-05-29,0755,Terra,MODIS,33,61.03,297,6.3,D,0
-1.8413,30.7168,314.1,1.2,1.1,2024-05-29,0755,Terra,MODIS,17,61.03,297.4,7.4,D,0
-1.8456,30.7044,322.1,1.1,1,2024-05-31,0738,Terra,MODIS,77,61.03,299.3,12.5,D,0
-1.8547,30.703,316.3,1.1,1,2024-05-31,0738,Terra,MODIS,52,61.03,297.7,6.6,D,0
-2.3967,30.6295,315.9,1.5,1.2,2024-05-31,1152,Aqua,MODIS,61,61.03,289.4,16.1,D,0
-1.5038,30.5112,314.5,2.2,1.4,2024-06-01,1233,Aqua,MODIS,36,61.03,295.3,19.2,D,0
-1.5484,30.5521,303.2,1.1,1,2024-06-02,1939,Terra,MODIS,54,61.03,290.1,6.7,N,0
-1.5676,30.566,319.3,1.1,1.1,2024-06-03,1216,Aqua,MODIS,55,61.03,300.5,10.3,D,0
-1.5374,30.5104,318.4,1.1,1.1,2024-06-03,1216,Aqua,MODIS,56,61.03,300,9.5,D,0
-1.5389,30.5003,318.4,1.1,1.1,2024-06-03,1216,Aqua,MODIS,42,61.03,300.2,9.5,D,0
-1.5435,30.5681,313,3.1,1.7,2024-06-06,1240,Aqua,MODIS,45,61.03,294.8,25.7,D,0
-1.5583,30.5703,315.1,3.1,1.7,2024-06-06,1240,Aqua,MODIS,67,61.03,297.2,35.1,D,0
-1.5794,30.434,315.4,3,1.7,2024-06-06,1240,Aqua,MODIS,51,61.03,295.6,31.3,D,0
-1.5648,30.4315,315,3,1.7,2024-06-06,1240,Aqua,MODIS,40,61.03,295.4,30.9,D,0
-1.5799,30.4289,315.2,3,1.7,2024-06-06,1240,Aqua,MODIS,63,61.03,295.3,30.2,D,0
-1.5449,30.5634,313.4,3.1,1.7,2024-06-06,1240,Aqua,MODIS,23,61.03,295.2,26.8,D,0
