latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-13.5134,-172.5717,311.7,3.2,1.7,2024-01-05,0104,Aqua,MODIS,22,61.03,293.5,31.6,D,0
-13.5035,-172.5568,311.4,3,1.7,2024-01-09,0211,Aqua,MODIS,43,61.03,290.6,31.1,D,0
-13.4919,-172.3094,310.9,2.8,1.6,2024-03-07,0109,Aqua,MODIS,15,61.03,295.3,25,D,0
-13.4777,-172.3113,312.7,2.8,1.6,2024-03-07,0109,Aqua,MODIS,0,61.03,295.4,29.7,D,0
-13.5026,-172.5599,314.4,3.2,1.7,2024-03-11,0216,Aqua,MODIS,28,61.03,291.3,33.8,D,0
-13.4809,-172.2991,313.7,1.6,1.2,2024-03-12,2056,Terra,MODIS,39,61.03,293.1,11.3,D,0
-13.8337,-171.9941,310.3,1.7,1.3,2024-03-25,2131,Terra,MODIS,15,61.03,294.5,12.7,D,0
-13.4807,-172.3044,314.5,1.2,1.1,2024-03-29,0130,Aqua,MODIS,32,61.03,296.8,10.2,D,0
-13.4804,-172.2996,313.5,2.1,1.4,2024-03-30,2137,Terra,MODIS,0,61.03,294.1,20.8,D,0
-13.4891,-172.3124,313.6,2.4,1.5,2024-03-31,0114,Aqua,MODIS,28,61.03,294.6,23.6,D,0
-13.4803,-172.3185,314.3,2.4,1.5,2024-03-31,0114,Aqua,MODIS,29,61.03,295,25.2,D,0
-13.4975,-172.5504,311.1,3.4,1.7,2024-04-19,0109,Aqua,MODIS,43,61.03,298.1,37.1,D,0
-13.4826,-172.311,310.4,2.3,1.5,2024-05-29,0213,Aqua,MODIS,10,61.03,293.2,16.8,D,0
-13.4766,-172.3102,315.4,1.9,1.4,2024-09-15,0217,Aqua,MODIS,0,61.03,299.2,17.4,D,0
-13.4881,-172.3015,310.8,2.8,1.6,2024-09-21,0124,Aqua,MODIS,0,61.03,295.4,22.1,D,0
-13.4847,-172.3027,311.7,2.5,1.5,2024-10-28,2128,Terra,MODIS,0,61.03,297.7,21.6,D,0
-13.5025,-172.5714,313.1,3.4,1.7,2024-11-14,0125,Aqua,MODIS,27,61.03,296.3,37,D,0
-13.5058,-172.5621,312.4,2.8,1.6,2024-12-31,2127,Terra,MODIS,19,61.03,292.8,27.9,D,0
