latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
25.6114,50.0896,312.1,1.2,1.1,2024-01-01,0703,Terra,MODIS,51,61.03,292.7,9.7,D,0
24.7914,49.2681,307.9,2,1.4,2024-01-01,1759,Terra,MODIS,73,61.03,286.8,28,N,0
25.6194,50.0805,302.8,1.7,1.3,2024-01-01,1759,Terra,MODIS,51,61.03,286.9,16.3,N,0
27.0142,49.5814,308.4,1.7,1.3,2024-01-01,1759,Terra,MODIS,74,61.03,288.9,21.1,N,2
27.0167,49.5804,316,1.4,1.2,2024-01-02,1041,Aqua,MODIS,68,61.03,299.8,13.2,D,2
25.6198,50.0826,302.8,1.6,1.2,2024-01-02,1839,Terra,MODIS,51,61.03,286.6,15,N,0
27.0159,49.5821,304.8,1.5,1.2,2024-01-02,1840,Terra,MODIS,62,61.03,288.5,13.7,N,2
25.7601,49.2469,327.4,1.2,1.1,2024-01-02,2247,Aqua,MODIS,100,61.03,284.3,36.8,N,0
25.6477,49.3976,300.5,1.1,1.1,2024-01-02,2247,Aqua,MODIS,28,61.03,285.7,7.4,N,2
25.6195,50.0868,307.6,1.1,1,2024-01-02,2247,Aqua,MODIS,72,61.03,285.9,12.3,N,0
27.0223,49.5775,310.7,1.2,1.1,2024-01-02,2247,Aqua,MODIS,81,61.03,287.8,15.1,N,2
27.0208,49.5891,302.4,1.2,1.1,2024-01-02,2247,Aqua,MODIS,49,61.03,286.4,8.8,N,2
24.8058,50.1125,301,1.1,1,2024-01-02,2248,Aqua,MODIS,37,61.03,285.2,8.1,N,0
24.1705,49.0968,311,1.1,1,2024-01-03,0646,Terra,MODIS,59,61.03,291,9.2,D,0
30.1053,38.1983,307.2,1.4,1.2,2024-01-03,1123,Aqua,MODIS,49,61.03,294,6.6,D,0
30.1277,38.231,311.9,1.4,1.2,2024-01-03,1123,Aqua,MODIS,65,61.03,294.2,11.8,D,0
28.5688,36.1711,310.6,1.1,1,2024-01-03,1123,Aqua,MODIS,27,61.03,297.9,4.6,D,0
30.1069,38.2123,307.1,1.4,1.2,2024-01-03,1123,Aqua,MODIS,38,61.03,292.8,6.2,D,0
