latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
44.0678,21.1119,303.2,1.3,1.1,2024-01-01,1143,Aqua,MODIS,55,61.03,283.3,10.9,D,0
44.5526,22.6729,303.8,1.3,1.1,2024-01-27,1138,Aqua,MODIS,43,61.03,282.7,11.7,D,0
42.9385,21.6055,302.3,1.1,1,2024-02-04,1213,Aqua,MODIS,52,61.03,285.9,6.6,D,0
42.3357,21.708,300.2,1.1,1,2024-02-04,1213,Aqua,MODIS,32,61.03,286.6,4.7,D,0
42.3374,21.7209,300.3,1.1,1,2024-02-04,1213,Aqua,MODIS,34,61.03,286.6,4.7,D,0
46.1329,19.5849,339.7,1,1,2024-02-04,1214,Aqua,MODIS,92,61.03,281,46.5,D,0
43.5946,20.5359,300.2,1,1,2024-02-04,1214,Aqua,MODIS,31,61.03,283,5.7,D,0
46.1312,19.5718,319.6,1,1,2024-02-04,1214,Aqua,MODIS,79,61.03,280.3,19.6,D,0
43.0935,21.0407,315.2,2.6,1.6,2024-02-05,0149,Aqua,MODIS,91,61.03,276.2,75.2,N,0
44.5231,22.4935,308,1.6,1.2,2024-02-05,0922,Terra,MODIS,66,61.03,287.3,16.4,D,0
44.5191,22.513,306.5,1.6,1.2,2024-02-05,0922,Terra,MODIS,61,61.03,287,14.1,D,0
44.5485,22.4824,312.3,1.6,1.2,2024-02-05,0922,Terra,MODIS,72,61.03,286.9,22.4,D,0
44.5387,22.4805,309.9,2.6,1.5,2024-02-05,1117,Aqua,MODIS,69,61.03,283.7,42.4,D,0
44.6856,21.8549,309.4,1,1,2024-02-06,1158,Aqua,MODIS,69,61.03,288.9,9.1,D,0
42.9978,21.6355,308.2,1,1,2024-02-06,1158,Aqua,MODIS,67,61.03,288.6,8.8,D,0
43.0236,21.3372,303.1,1,1,2024-02-06,1158,Aqua,MODIS,55,61.03,283.8,6.8,D,0
43.1396,21.3598,305.6,1,1,2024-02-06,1158,Aqua,MODIS,62,61.03,289.4,7.2,D,0
43.8181,21.7724,302.7,1,1,2024-02-06,1158,Aqua,MODIS,53,61.03,291.4,4.9,D,0
43.8162,21.7601,314.9,1,1,2024-02-06,1158,Aqua,MODIS,75,61.03,292.8,13.4,D,0
43.9537,22.1159,305.4,1,1,2024-02-06,1158,Aqua,MODIS,61,61.03,291.2,5.4,D,0
