latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
7.4758,-11.9559,320.3,1.1,1.1,2024-01-01,1450,Aqua,MODIS,73,61.03,297.8,13.6,D,0
7.6302,-11.6446,316,1.2,1.1,2024-01-01,1450,Aqua,MODIS,67,61.03,298.7,9.8,D,0
8.8088,-11.9145,315.2,1.2,1.1,2024-01-01,1451,Aqua,MODIS,50,61.03,301.5,7.4,D,0
8.8137,-11.9103,313,1.2,1.1,2024-01-01,1451,Aqua,MODIS,51,61.03,301.2,6.4,D,0
8.8122,-11.9206,316.4,1.2,1.1,2024-01-01,1451,Aqua,MODIS,63,61.03,301.4,9.5,D,0
8.7817,-12.1436,317.7,1.1,1.1,2024-01-01,1451,Aqua,MODIS,66,61.03,302.6,7.8,D,0
8.7839,-12.2657,321,1.1,1,2024-01-01,1451,Aqua,MODIS,72,61.03,301.7,10.4,D,0
8.8408,-12.1316,316.9,1.1,1.1,2024-01-01,1451,Aqua,MODIS,65,61.03,302.5,7.6,D,0
8.8525,-12.1843,321,1.1,1.1,2024-01-01,1451,Aqua,MODIS,72,61.03,301.7,10.4,D,0
8.8511,-12.1943,318.5,1.1,1.1,2024-01-01,1451,Aqua,MODIS,64,61.03,302.2,7.3,D,0
8.8534,-12.2454,319.3,1.1,1.1,2024-01-01,1451,Aqua,MODIS,62,61.03,305.4,8.4,D,0
9.0607,-10.8391,314.9,1.3,1.1,2024-01-01,1451,Aqua,MODIS,56,61.03,301.6,8.5,D,0
9.0591,-10.8512,316.8,1.3,1.1,2024-01-01,1451,Aqua,MODIS,62,61.03,302.2,11.3,D,0
8.7945,-12.9205,313.4,1,1,2024-01-01,1451,Aqua,MODIS,52,61.03,301.2,5,D,0
8.7591,-13.1709,315.1,1,1,2024-01-01,1451,Aqua,MODIS,59,61.03,297.8,7.5,D,0
