latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
48.6084,21.1819,302.2,1,1,2024-01-09,0905,Terra,MODIS,51,61.03,271.2,9.6,D,2
48.6003,21.1773,301,1,1,2024-01-13,1150,Aqua,MODIS,43,61.03,275,8.7,D,2
48.6066,21.1737,312.8,1.1,1.1,2024-01-20,1145,Aqua,MODIS,73,61.03,275.6,19,D,2
48.6095,21.1785,300.5,1.2,1.1,2024-01-25,1936,Terra,MODIS,28,61.03,272.9,12.6,N,2
48.6094,21.1765,309.2,1.2,1.1,2024-01-28,0851,Terra,MODIS,68,61.03,276.4,17.1,D,2
48.604,21.1789,307.2,1,1,2024-02-06,1159,Aqua,MODIS,65,61.03,281.3,9.6,D,2
48.6091,21.1865,303.8,1,1,2024-02-07,0904,Terra,MODIS,57,61.03,280.6,8.5,D,2
48.6073,21.1846,303.5,1.1,1,2024-02-14,2001,Terra,MODIS,56,61.03,273.5,11.8,N,2
48.6056,21.1705,300.5,1.1,1,2024-02-14,2001,Terra,MODIS,30,61.03,271,9.9,N,2
48.6043,21.1771,301.7,1.3,1.1,2024-02-15,1138,Aqua,MODIS,49,61.03,284.6,9.5,D,2
48.6057,21.1813,304.8,1.1,1,2024-02-17,0916,Terra,MODIS,60,61.03,280.2,10,D,2
48.6014,21.1829,300.8,1,1,2024-02-18,1203,Aqua,MODIS,41,61.03,284.5,5.8,D,2
48.5995,21.1813,307.5,1.3,1.1,2024-02-27,1141,Aqua,MODIS,66,61.03,287.9,11.3,D,2
48.6083,21.1813,303,1,1,2024-02-29,0912,Terra,MODIS,53,61.03,286.4,5.8,D,2
48.6081,21.1761,310.6,1,1,2024-03-04,1946,Terra,MODIS,80,61.03,278.7,14.6,N,2
48.6085,21.1828,304,1.1,1.1,2024-03-05,0918,Terra,MODIS,58,61.03,288,7.2,D,2
48.6039,21.178,309.6,1.4,1.2,2024-03-06,1929,Terra,MODIS,78,61.03,274.1,23.1,N,2
48.6051,21.1699,302.8,1,1,2024-03-15,1154,Aqua,MODIS,51,61.03,290.8,4.4,D,2
48.6073,21.1835,306.6,1,1,2024-03-15,1154,Aqua,MODIS,64,61.03,292.6,6.7,D,2
48.6076,21.1831,306.8,1.1,1,2024-03-16,0126,Aqua,MODIS,69,61.03,268.6,14.3,N,2
48.6054,21.1718,307.2,1.4,1.2,2024-03-17,1138,Aqua,MODIS,47,61.03,279.4,13.2,D,2
48.6075,21.178,309.3,1,1,2024-03-19,0856,Terra,MODIS,59,61.03,278.2,11.4,D,2
48.6057,21.1897,302.9,1.9,1.3,2024-03-20,0937,Terra,MODIS,38,61.03,287.2,12.9,D,2
48.3274,19.3082,301,1.5,1.2,2024-03-20,0937,Terra,MODIS,25,61.03,285,9.3,D,0
48.3291,19.2815,300.3,1.5,1.2,2024-03-20,0937,Terra,MODIS,34,61.03,285.1,9.2,D,0
48.3251,19.3012,306.9,1.5,1.2,2024-03-20,0937,Terra,MODIS,64,61.03,285.6,16.7,D,0
48.3315,19.2883,312.1,1.5,1.2,2024-03-20,0937,Terra,MODIS,72,61.03,285.9,22.3,D,0
48.6076,21.1711,305.9,1,1,2024-03-20,1203,Aqua,MODIS,48,61.03,290,5.7,D,2
48.5988,21.174,306.7,1,1,2024-03-20,1203,Aqua,MODIS,47,61.03,291.2,5.9,D,2
48.6094,21.1844,305.2,1,1,2024-03-20,1203,Aqua,MODIS,38,61.03,292.1,5.1,D,2
48.6078,21.1909,301.7,1.3,1.1,2024-03-26,0845,Terra,MODIS,24,61.03,288.4,6,D,2
48.6079,21.1841,303.6,1.3,1.1,2024-03-26,0845,Terra,MODIS,44,61.03,288.2,7.7,D,2
48.587,21.1993,305.2,1.4,1.2,2024-03-27,0926,Terra,MODIS,61,61.03,288.4,9.4,D,2
48.5906,21.1814,306.4,1.4,1.2,2024-03-27,0926,Terra,MODIS,63,61.03,288.8,10.6,D,2
49.0629,21.3423,304.1,1,1,2024-03-27,1156,Aqua,MODIS,58,61.03,289.1,5,D,0
49.0608,21.3289,301.9,1,1,2024-03-27,1156,Aqua,MODIS,50,61.03,288.5,3.9,D,0
48.6065,21.1839,307.5,1,1,2024-03-29,0909,Terra,MODIS,44,61.03,287.5,8.7,D,2
48.8149,21.8801,300.9,1.2,1.1,2024-04-03,0915,Terra,MODIS,43,61.03,286.6,5.6,D,0
48.6082,21.1895,302.6,1.1,1,2024-04-03,0915,Terra,MODIS,53,61.03,290.6,5.8,D,2
48.6086,21.1758,310.5,1.3,1.1,2024-04-08,0921,Terra,MODIS,63,61.03,295.1,8.8,D,2
