latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
45.7402,14.2369,302.1,1.3,1.1,2024-01-12,1246,Aqua,MODIS,51,61.03,274.7,13.2,D,0
46.3913,15.7638,322.8,1.1,1,2024-02-04,1215,Aqua,MODIS,77,61.03,285.3,23.9,D,0
45.5692,15.1665,301.8,1.2,1.1,2024-03-20,0938,Terra,MODIS,49,61.03,285.2,7.1,D,0
45.5481,13.7381,300.5,1.5,1.2,2024-03-25,1212,Aqua,MODIS,27,61.03,289.7,5.5,D,2
46.5076,15.0811,300.3,1.1,1,2024-03-30,1221,Aqua,MODIS,32,61.03,287.9,2.7,D,2
45.5511,13.7396,303.9,1.1,1,2024-04-06,0939,Terra,MODIS,18,61.03,291.2,3.3,D,2
46.6586,16.1653,300.3,2.1,1.4,2024-04-27,1151,Aqua,MODIS,32,61.03,288.1,7.3,D,2
45.5457,13.7355,311,1.4,1.2,2024-04-30,1215,Aqua,MODIS,43,61.03,299.3,7.6,D,2
46.2251,14.1664,302,1.1,1.1,2024-05-05,1224,Aqua,MODIS,49,61.03,284.2,5.5,D,2
45.5501,13.7435,313,1.1,1.1,2024-05-10,0939,Terra,MODIS,24,61.03,297.2,7.2,D,2
45.5504,13.7407,319.9,1.1,1,2024-06-03,1229,Aqua,MODIS,51,61.03,297.6,13.2,D,2
45.5483,13.7459,311.9,1.6,1.3,2024-06-05,1213,Aqua,MODIS,57,61.03,296.9,12.9,D,2
45.5488,13.7475,313.2,1.5,1.2,2024-06-06,0949,Terra,MODIS,36,61.03,297.3,10.8,D,2
45.5503,13.7354,317.1,1,1,2024-06-20,1235,Aqua,MODIS,0,61.03,298.5,5.4,D,0
45.547,13.7387,318.8,1.5,1.2,2024-06-22,1218,Aqua,MODIS,48,61.03,306.6,13.8,D,2
45.9167,14.2373,310.1,1.3,1.1,2024-07-05,0939,Terra,MODIS,58,61.03,298.6,9.5,D,2
46.1694,14.3275,313.6,1.2,1.1,2024-07-09,1222,Aqua,MODIS,46,61.03,299.6,9.3,D,2
45.5551,13.7535,320.6,1.4,1.2,2024-07-10,0944,Terra,MODIS,52,61.03,302.8,12.3,D,2
46.3658,15.1012,317.4,1.1,1,2024-07-12,0926,Terra,MODIS,61,61.03,301.8,9.4,D,2
46.388,15.5482,314.1,2.9,1.6,2024-07-13,1149,Aqua,MODIS,55,61.03,292.3,35.9,D,0
46.3906,15.543,310.9,2.9,1.6,2024-07-13,1149,Aqua,MODIS,16,61.03,292.2,23.8,D,0
45.5571,13.7536,318.2,1.6,1.3,2024-07-15,0949,Terra,MODIS,52,61.03,303.1,12.1,D,2
45.8613,13.6838,327,3.4,1.7,2024-07-18,0834,Terra,MODIS,82,61.03,295.4,114.6,D,0
45.548,13.7441,317.2,1.5,1.2,2024-07-21,1219,Aqua,MODIS,59,61.03,301.9,11.9,D,2
46.0584,14.5565,313.2,1.2,1.1,2024-08-08,0933,Terra,MODIS,32,61.03,299.4,7.7,D,2
45.5507,13.738,303,1.1,1,2024-09-30,1240,Aqua,MODIS,23,61.03,291.7,3,D,0
