latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-9.3138,159.7367,312.2,1,1,2024-06-12,0334,Aqua,MODIS,33,61.03,296,6.1,D,0
-9.2921,159.7609,324.9,1,1,2024-06-12,0334,Aqua,MODIS,68,61.03,296.6,16.9,D,0
-9.0321,160.2065,318.9,1.5,1.2,2024-06-14,0318,Aqua,MODIS,61,61.03,293.7,22.4,D,0
-9.3133,159.7783,315.1,1.1,1,2024-07-23,0333,Aqua,MODIS,23,61.03,296,7.2,D,0
-9.3147,159.7689,313.9,1.1,1,2024-07-23,0333,Aqua,MODIS,15,61.03,296.5,6.2,D,0
-9.5203,160.2272,309.3,1.1,1.1,2024-07-29,2249,Terra,MODIS,62,61.03,292.5,5.4,D,0
-8.4988,159.6593,317.3,1.1,1,2024-08-26,0336,Aqua,MODIS,0,61.03,287.5,12.8,D,0
-8.5002,159.6499,310.8,1.1,1,2024-08-26,0336,Aqua,MODIS,32,61.03,289.1,7.2,D,0
-9.512,160.111,319.9,1.2,1.1,2024-09-09,2306,Terra,MODIS,77,61.03,297.1,14.9,D,0
-9.4382,160.1542,320.5,1.2,1.1,2024-09-10,0352,Aqua,MODIS,64,61.03,297,12.8,D,0
-9.5695,160.2133,339.6,1.1,1,2024-09-12,0334,Aqua,MODIS,90,61.03,292.5,43.6,D,0
-9.4673,159.9525,316.9,1.1,1.1,2024-09-12,0334,Aqua,MODIS,47,61.03,293.2,9.9,D,0
-9.4566,159.961,317.9,1.1,1.1,2024-09-12,0334,Aqua,MODIS,39,61.03,295.4,9.1,D,0
-9.4579,159.9511,325.6,1.1,1.1,2024-09-12,0334,Aqua,MODIS,78,61.03,294.2,19.2,D,0
-9.508,160.1064,315.2,1,1,2024-09-16,2252,Terra,MODIS,46,61.03,298.6,8.6,D,0
-9.0137,160.1972,314.1,1,1,2024-09-17,0339,Aqua,MODIS,46,61.03,297.2,6.9,D,0
-9.4239,159.8883,319.2,1,1,2024-09-22,0344,Aqua,MODIS,66,61.03,298.6,10.7,D,0
-9.4488,160.2591,312,1.1,1,2024-09-27,0348,Aqua,MODIS,52,61.03,296.2,4.6,D,0
-9.4584,160.1914,326.5,1.2,1.1,2024-10-02,0353,Aqua,MODIS,80,61.03,299.3,20.7,D,0
-9.3904,159.8368,316,1.1,1.1,2024-10-02,0353,Aqua,MODIS,43,61.03,297.3,8.8,D,0
-9.3049,159.733,316.8,1.1,1.1,2024-10-03,2247,Terra,MODIS,63,61.03,272.7,16.3,D,0
-9.4752,160.1124,315.8,1,1,2024-11-25,0349,Aqua,MODIS,67,61.03,298.3,6.3,D,0
