latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
0.6712,42.6541,317.4,3.3,1.7,2024-01-02,1034,Aqua,MODIS,55,61.03,300.3,44.7,D,0
2.0593,45.2719,304.2,1.1,1,2024-01-02,2254,Aqua,MODIS,59,61.03,292.3,6,N,0
3.1069,45.6336,317.5,1,1,2024-01-12,1056,Aqua,MODIS,15,61.03,296.6,7,D,0
4.1658,47.0826,301.1,1.2,1.1,2024-01-16,2243,Aqua,MODIS,19,61.03,290,5.1,N,0
3.0028,45.6502,313.8,1.6,1.2,2024-01-18,0712,Terra,MODIS,52,61.03,297.2,10,D,0
3.0035,45.6417,317.8,1,1,2024-01-20,0655,Terra,MODIS,38,61.03,303.1,7.2,D,0
3.7296,42.7676,336.8,2.2,1.4,2024-01-20,1132,Aqua,MODIS,82,61.03,313.4,63.8,D,0
3.7172,42.7619,330.5,2.2,1.4,2024-01-20,1132,Aqua,MODIS,53,61.03,312.2,32.3,D,0
3.7326,42.7796,330.3,2.2,1.4,2024-01-20,1132,Aqua,MODIS,68,61.03,312.5,31.6,D,0
3.7299,42.76,329.6,2.2,1.4,2024-01-20,1132,Aqua,MODIS,59,61.03,312.8,30.4,D,0
3.7966,42.7709,327.4,2.2,1.4,2024-01-20,1132,Aqua,MODIS,53,61.03,312,21,D,0
3.7939,42.7515,326.2,2.2,1.4,2024-01-20,1132,Aqua,MODIS,37,61.03,311.1,17.5,D,0
3.8094,42.7691,337,2.2,1.4,2024-01-20,1132,Aqua,MODIS,82,61.03,313.5,62,D,0
3.8079,42.7642,331.8,2.2,1.4,2024-01-20,1132,Aqua,MODIS,54,61.03,313,36.4,D,0
3.8207,42.7624,329.1,2.2,1.4,2024-01-20,1132,Aqua,MODIS,56,61.03,312.6,26.5,D,0
3.8222,42.7673,328.7,2.2,1.4,2024-01-20,1132,Aqua,MODIS,52,61.03,312.9,26.2,D,0
3.7168,42.7694,333.4,2.2,1.4,2024-01-20,1132,Aqua,MODIS,78,61.03,312.5,46.6,D,0
3.7764,42.4065,336.9,1,1,2024-02-05,1105,Aqua,MODIS,80,61.03,316.6,14.5,D,0
3.7854,42.4052,356.4,1,1,2024-02-05,1105,Aqua,MODIS,97,61.03,318.5,55.5,D,0
9.3577,44.6645,305.5,1,1,2024-02-15,1853,Terra,MODIS,64,61.03,292.9,6.5,N,0
