latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
7.7636,80.1464,312.8,1.1,1,2024-01-23,0842,Aqua,MODIS,25,61.03,300.4,5.8,D,0
6.6126,80.2912,319.6,1.5,1.2,2024-01-28,0851,Aqua,MODIS,72,61.03,296.6,19.1,D,0
6.609,80.2979,325.8,1.5,1.2,2024-01-28,0851,Aqua,MODIS,79,61.03,296.3,27.6,D,0
7.6974,80.1061,315.6,1.4,1.2,2024-02-03,0453,Terra,MODIS,68,61.03,298.8,13.1,D,0
6.4407,81.0469,316.8,1,1,2024-02-06,0830,Aqua,MODIS,66,61.03,302.8,8,D,0
8.2971,80.5664,315.2,1,1,2024-02-06,0831,Aqua,MODIS,58,61.03,300.4,8,D,0
7.2357,81.7655,304.6,1,1,2024-02-09,1626,Terra,MODIS,61,61.03,294.4,5,N,0
6.3735,80.6197,336.8,1,1,2024-02-11,0840,Aqua,MODIS,87,61.03,300.9,34.8,D,0
6.648,80.8635,314.8,1.1,1,2024-02-11,0840,Aqua,MODIS,59,61.03,299.5,7.1,D,0
7.9246,79.8644,317,1,1,2024-02-11,0840,Aqua,MODIS,66,61.03,302.2,6.8,D,0
6.3722,80.6104,320,1,1,2024-02-11,0840,Aqua,MODIS,71,61.03,300.8,12.6,D,0
6.8188,81.1257,313.6,1.1,1.1,2024-02-13,0824,Aqua,MODIS,63,61.03,297,8.5,D,0
6.129,81.084,316.6,1.2,1.1,2024-02-13,0824,Aqua,MODIS,0,61.03,296.5,9.1,D,0
6.1277,81.076,320.5,1,1,2024-02-18,0834,Aqua,MODIS,0,61.03,304.7,7.2,D,0
6.8799,80.538,314,1,1,2024-02-18,0834,Aqua,MODIS,57,61.03,297.7,5.9,D,0
7.0801,80.4593,317.2,1,1,2024-02-18,0834,Aqua,MODIS,65,61.03,299.5,9.8,D,0
7.0788,80.4503,311.7,1,1,2024-02-18,0834,Aqua,MODIS,42,61.03,298.6,5.2,D,0
7.1112,80.6035,314.1,1,1,2024-02-18,0834,Aqua,MODIS,55,61.03,301,5.5,D,0
7.1099,80.5946,319.8,1,1,2024-02-18,0834,Aqua,MODIS,70,61.03,300.5,10.4,D,0
7.919,80.1994,315.9,1,1,2024-02-18,0835,Aqua,MODIS,62,61.03,301,5.3,D,0
