latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
65.5646,22.2218,325,1,1,2024-01-10,0941,Terra,MODIS,100,61.03,273.6,28.5,N,3
65.5627,22.2297,325.9,1,1,2024-01-29,1906,Terra,MODIS,100,61.03,272.7,30,N,3
55.3653,13.2362,300.4,1,1,2024-04-06,1216,Aqua,MODIS,0,61.03,281.3,4.8,D,0
57.4345,14.1199,309.2,1.1,1.1,2024-04-08,1201,Aqua,MODIS,64,61.03,285.7,11.5,D,0
55.8675,12.9969,302.2,1.8,1.3,2024-04-29,1023,Terra,MODIS,51,61.03,286.8,10.8,D,0
60.1379,16.1699,301.1,1.1,1,2024-04-30,1219,Aqua,MODIS,29,61.03,290.9,3,D,2
64.6652,21.2904,310.4,1.1,1,2024-04-30,1902,Terra,MODIS,71,61.03,273.6,16.3,N,3
64.6617,21.27,313.4,1.1,1,2024-04-30,1902,Terra,MODIS,82,61.03,273.6,18.9,N,3
56.6669,12.8073,302.5,1.1,1,2024-05-07,1210,Aqua,MODIS,0,61.03,290.9,3.2,D,2
64.6619,21.2857,314.6,1,1,2024-05-11,1139,Aqua,MODIS,61,61.03,279.9,17.6,D,3
57.441,14.1175,323.4,1,1,2024-05-12,1218,Aqua,MODIS,71,61.03,297.6,17.9,D,0
59.5681,12.5403,305.1,1,1,2024-05-12,1219,Aqua,MODIS,35,61.03,293,3.3,D,0
57.6707,12.3028,305.3,1,1,2024-05-13,0959,Terra,MODIS,0,61.03,294.3,4.8,D,2
57.2752,17.0423,305.5,1,1,2024-05-14,1202,Aqua,MODIS,0,61.03,290.8,6.5,D,0
61.8769,16.0913,303.9,4.2,1.9,2024-05-15,1118,Terra,MODIS,57,61.03,292.9,28.6,D,0
58.8055,16.2406,318.2,1.6,1.3,2024-05-15,1243,Aqua,MODIS,59,61.03,294.8,26.8,D,0
58.8041,16.2359,322.6,1.6,1.3,2024-05-15,1243,Aqua,MODIS,0,61.03,294.9,34.1,D,0
58.0275,12.8099,302.9,1.5,1.2,2024-05-16,1022,Terra,MODIS,29,61.03,290,4.4,D,0
57.6672,14.1822,304.3,1.7,1.3,2024-05-16,1022,Terra,MODIS,49,61.03,290.5,8.1,D,0
59.0166,11.338,302.6,1.7,1.3,2024-05-16,1146,Aqua,MODIS,41,61.03,290.9,6.5,D,0
59.5684,17.8719,305.5,1.1,1,2024-05-16,1146,Aqua,MODIS,0,61.03,289.4,5.7,D,0
58.6873,17.1291,308.5,1,1,2024-05-17,0924,Terra,MODIS,0,61.03,295.7,6.7,D,2
61.372,15.1021,314.1,1.5,1.2,2024-05-18,1130,Aqua,MODIS,68,61.03,296.4,16.3,D,0
61.3658,15.1012,310.8,1.5,1.2,2024-05-18,1130,Aqua,MODIS,59,61.03,296.8,11.9,D,0
58.9966,16.2099,307.1,1,1,2024-05-19,1210,Aqua,MODIS,35,61.03,294.8,3.6,D,0
56.2234,14.8425,306.1,1.1,1,2024-05-20,0947,Terra,MODIS,18,61.03,293,3.8,D,0
61.5162,15.4382,305,1.6,1.2,2024-05-21,1026,Terra,MODIS,40,61.03,293,8,D,0
61.5153,15.432,306.3,1.6,1.2,2024-05-21,1026,Terra,MODIS,51,61.03,293.1,10.4,D,0
61.516,15.4292,333.8,1,1,2024-05-21,1154,Aqua,MODIS,77,61.03,294.5,32.4,D,0
61.5129,15.4109,329.2,1,1,2024-05-21,1154,Aqua,MODIS,81,61.03,295.7,25.8,D,0
62.0917,17.2721,370.2,1.1,1,2024-05-22,0928,Terra,MODIS,100,61.03,299.9,123.9,D,0
63.5854,16.3797,310.3,1.1,1.1,2024-05-22,0928,Terra,MODIS,64,61.03,296.4,8.5,D,0
62.0893,17.2913,323.1,1.1,1,2024-05-22,0928,Terra,MODIS,77,61.03,296.3,19.6,D,0
62.6306,16.1166,315.9,2.2,1.5,2024-05-22,1058,Aqua,MODIS,66,61.03,293.2,41.6,D,0
62.0931,17.2671,324.2,2.2,1.4,2024-05-22,1058,Aqua,MODIS,83,61.03,293.1,63.5,D,0
62.083,17.2312,304.6,2.2,1.4,2024-05-22,1058,Aqua,MODIS,35,61.03,293,13,D,0
62.6415,16.1546,302.8,2.2,1.4,2024-05-22,1058,Aqua,MODIS,53,61.03,292.1,11.9,D,0
62.0818,17.2802,314.7,2.2,1.4,2024-05-22,1058,Aqua,MODIS,67,61.03,293.8,33,D,0
62.6442,16.1439,305.9,3.2,1.7,2024-05-22,1106,Terra,MODIS,51,61.03,291.4,31.5,D,0
62.0901,17.288,307.7,3.7,1.8,2024-05-22,1106,Terra,MODIS,60,61.03,291,47.3,D,0
62.6434,16.1475,305.7,3.2,1.7,2024-05-22,1106,Terra,MODIS,58,61.03,291.3,30.9,D,0
57.6882,12.7966,305.4,1.1,1,2024-05-22,1234,Aqua,MODIS,0,61.03,292.8,4.1,D,0
62.6381,16.1104,306.5,1.5,1.2,2024-05-22,1235,Aqua,MODIS,46,61.03,295.3,8,D,0
58.6789,17.114,304.5,1.3,1.1,2024-05-23,1137,Aqua,MODIS,0,61.03,293.5,7.7,D,2
63.5847,19.1905,300.5,2.6,1.6,2024-05-24,1048,Terra,MODIS,18,61.03,287.6,6.4,D,0
63.5961,19.2081,300.2,2.6,1.6,2024-05-24,1048,Terra,MODIS,10,61.03,287.5,6.5,D,0
61.6223,15.4601,304.6,1.1,1,2024-05-24,1219,Aqua,MODIS,12,61.03,290.2,2.7,D,0
59.5732,17.8759,312.7,1.2,1.1,2024-05-25,0952,Terra,MODIS,39,61.03,300.5,10.1,D,0
62.2806,15.7762,305.7,1,1,2024-05-26,1202,Aqua,MODIS,29,61.03,291,3.2,D,0
66.0168,18.9111,317.6,1,1,2024-05-27,0933,Terra,MODIS,70,61.03,295.6,12.5,D,0
65.8738,20.1493,306.1,1,1,2024-05-27,0933,Terra,MODIS,11,61.03,293.9,3.7,D,0
66.0195,18.8891,331.2,1,1,2024-05-27,0933,Terra,MODIS,75,61.03,297.8,28.5,D,0
66.0162,18.8974,343.5,1.2,1.1,2024-05-27,1106,Aqua,MODIS,71,61.03,299.2,63.3,D,0
66.0147,18.9076,327.4,2.8,1.6,2024-05-27,1110,Terra,MODIS,74,61.03,295.3,101.5,D,0
66.0306,18.8605,307.4,2.8,1.6,2024-05-27,1110,Terra,MODIS,49,61.03,294.8,22.2,D,0
57.3514,14.6399,303.2,1,1,2024-05-29,1225,Aqua,MODIS,36,61.03,289.8,3.5,D,0
64.6632,21.2963,306.4,1,1,2024-05-30,0150,Aqua,MODIS,45,61.03,283.7,10.2,N,3
66.7978,22.2922,318.4,1.1,1,2024-05-30,0955,Terra,MODIS,76,61.03,297.6,14.7,D,0
65.6691,18.8467,306.5,1,1,2024-05-30,0955,Terra,MODIS,42,61.03,292.2,4.4,D,0
63.4661,17.4226,303,1.1,1,2024-05-30,0956,Terra,MODIS,43,61.03,292.1,3.9,D,0
58.5931,16.2111,304.1,2.8,1.6,2024-05-31,1037,Terra,MODIS,17,61.03,286.5,10.2,D,2
57.6958,12.8409,310.3,1,1,2024-06-01,0940,Terra,MODIS,48,61.03,299.6,6.9,D,0
