latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
46.2227,6.0791,301.3,1.7,1.3,2024-03-14,1029,Terra,MODIS,46,61.03,288.9,8.1,D,2
45.8843,8.9733,303.6,1.3,1.1,2024-03-16,1235,Aqua,MODIS,49,61.03,291.3,6.7,D,2
47.0673,8.2636,302.6,1,1,2024-03-19,1300,Aqua,MODIS,53,61.03,287.5,4.9,D,0
47.1723,7.5668,304,1,1,2024-03-26,1253,Aqua,MODIS,55,61.03,293.2,5.1,D,2
47.0696,8.2695,305.1,1,1,2024-04-11,0945,Terra,MODIS,61,61.03,289.5,6.9,D,2
46.9511,7.4283,320.7,1,1,2024-04-12,1304,Aqua,MODIS,80,61.03,298.5,14.5,D,2
47.1739,7.5651,311,1.2,1.1,2024-05-10,0939,Terra,MODIS,70,61.03,297,10.3,D,2
46.4563,7.7007,305.2,1.1,1.1,2024-05-11,1313,Aqua,MODIS,0,61.03,289.1,5.5,D,0
47.1746,7.5617,316.9,1.1,1.1,2024-05-11,1313,Aqua,MODIS,66,61.03,304.1,10.1,D,2
47.1702,7.5641,310.1,1.1,1,2024-05-13,1002,Terra,MODIS,42,61.03,293.7,6.8,D,2
47.1729,7.5599,309.1,1.2,1.1,2024-05-18,1007,Terra,MODIS,64,61.03,295.5,8,D,2
47.1739,7.5664,313.3,1.1,1,2024-06-04,1311,Aqua,MODIS,54,61.03,296.2,7.6,D,2
47.3036,7.784,319.8,1.2,1.1,2024-06-13,1245,Aqua,MODIS,74,61.03,300.1,18.6,D,0
47.3629,8.0457,319.2,1,1,2024-06-16,1309,Aqua,MODIS,76,61.03,299.4,13.2,D,2
47.1779,7.5581,302.7,1,1,2024-06-18,2049,Terra,MODIS,51,61.03,290.3,5.5,N,2
47.1729,7.5674,313,1.4,1.2,2024-06-25,0929,Terra,MODIS,57,61.03,298.8,10.5,D,2
47.1764,7.561,301.8,1,1,2024-06-25,2037,Terra,MODIS,45,61.03,288.1,5.5,N,2
46.8924,7.7951,311.5,1,1,2024-06-28,0952,Terra,MODIS,67,61.03,295,6.9,D,0
46.8905,7.8078,315,1,1,2024-06-28,0952,Terra,MODIS,72,61.03,294.5,9.7,D,0
46.1579,8.9782,314.9,1.1,1,2024-06-28,0952,Terra,MODIS,49,61.03,300.2,9.8,D,2
47.1729,7.5605,316.4,1,1,2024-06-28,1306,Aqua,MODIS,70,61.03,296.1,8.7,D,2
46.0197,8.9714,308.1,3.7,1.8,2024-07-04,1037,Terra,MODIS,0,61.03,292.3,48.2,D,2
46.0269,8.9693,311.4,3.7,1.8,2024-07-04,1037,Terra,MODIS,0,61.03,292.3,64.9,D,2
47.3525,8.2592,310.5,1.2,1.1,2024-07-08,1002,Terra,MODIS,45,61.03,298.8,7.9,D,2
47.1769,7.5632,300.6,1,1,2024-07-17,2039,Terra,MODIS,31,61.03,290,4.7,N,2
47.4157,8.3986,309.7,1.5,1.2,2024-07-18,1011,Terra,MODIS,32,61.03,297.4,9.6,D,2
47.2791,7.7159,310.4,1.4,1.2,2024-07-18,1012,Terra,MODIS,35,61.03,298.9,9.6,D,2
47.1701,7.5664,310.6,1.4,1.2,2024-07-18,1012,Terra,MODIS,56,61.03,298.1,8.6,D,2
46.5214,6.9091,308.4,1.4,1.2,2024-07-18,1012,Terra,MODIS,26,61.03,296.7,7.9,D,0
46.2956,7.8893,314.2,1,1,2024-07-20,0954,Terra,MODIS,31,61.03,302.6,8.3,D,2
47.069,8.2646,318.8,1.2,1.1,2024-07-20,1317,Aqua,MODIS,60,61.03,302.3,8.4,D,0
46.8182,6.9339,316,1.6,1.2,2024-07-23,1016,Terra,MODIS,68,61.03,298.2,16,D,2
46.528,8.6057,302.9,1.3,1.1,2024-07-24,1243,Aqua,MODIS,35,61.03,291.4,4.9,D,0
