latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
34.5797,40.9175,309.7,1.2,1.1,2024-01-07,0748,Terra,MODIS,52,61.03,286.9,13.6,D,0
36.0574,38.995,303.6,1.1,1,2024-01-24,1110,Aqua,MODIS,56,61.03,287.3,7.3,D,0
35.9079,39.2448,317.9,1.4,1.2,2024-02-09,1043,Aqua,MODIS,78,61.03,291.5,21.7,D,0
35.9113,39.2492,328.4,1.4,1.2,2024-02-09,1043,Aqua,MODIS,85,61.03,292,37.7,D,0
35.9106,39.2593,320.5,1.4,1.2,2024-02-09,1043,Aqua,MODIS,80,61.03,292.8,25.2,D,0
35.4774,40.0071,304.7,1.3,1.1,2024-02-09,1043,Aqua,MODIS,33,61.03,293.1,6,D,0
35.9976,37.9228,305.3,1,1,2024-02-12,1108,Aqua,MODIS,61,61.03,287.4,5.8,D,0
36.3655,37.2109,300.4,1.4,1.2,2024-02-22,1128,Aqua,MODIS,32,61.03,289.9,2.6,D,0
36.722,41.6779,304.5,2.5,1.5,2024-02-25,1015,Aqua,MODIS,59,61.03,293,18.4,D,0
36.734,41.7069,303.8,2.5,1.5,2024-02-25,1015,Aqua,MODIS,33,61.03,293.1,14.7,D,0
36.728,41.6801,308.2,2.5,1.5,2024-02-25,1015,Aqua,MODIS,64,61.03,293.4,25.2,D,0
36.7281,41.7046,306.3,2.5,1.5,2024-02-25,1015,Aqua,MODIS,63,61.03,292.7,22.6,D,0
35.8394,38.0708,304.6,1.1,1.1,2024-02-26,1056,Aqua,MODIS,59,61.03,290,5.8,D,0
35.8304,37.8465,303,1.1,1.1,2024-02-26,1056,Aqua,MODIS,55,61.03,290,4.8,D,0
33.3973,36.16,301,1,1,2024-02-27,0755,Terra,MODIS,43,61.03,286.5,4.5,D,0
35.786,38.2377,313.4,1.3,1.1,2024-02-29,1122,Aqua,MODIS,67,61.03,297.3,11.9,D,0
35.8187,37.9192,306.2,3.3,1.7,2024-03-01,1025,Aqua,MODIS,55,61.03,293.3,30.9,D,0
35.8584,37.7023,311.1,3.4,1.7,2024-03-01,1025,Aqua,MODIS,60,61.03,291.9,51.3,D,0
35.8621,37.7052,309.2,3.4,1.7,2024-03-01,1025,Aqua,MODIS,49,61.03,290.9,46,D,0
36.9411,42.1711,300.3,1.1,1,2024-03-02,0719,Terra,MODIS,34,61.03,289.5,4.1,D,2
35.8896,38.6983,314.2,1,1,2024-03-02,1106,Aqua,MODIS,69,61.03,295.2,10.1,D,0
