latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
37.2855,68.7092,302.3,1.1,1.1,2024-01-23,0850,Aqua,MODIS,38,61.03,290,5.1,D,0
38.5516,68.7739,301.4,1.1,1,2024-01-23,0850,Aqua,MODIS,47,61.03,287.7,3.8,D,2
37.2199,68.1249,307.6,1.1,1,2024-02-02,0910,Aqua,MODIS,66,61.03,286.3,9.5,D,0
37.2872,68.0225,300.3,1.2,1.1,2024-02-09,0532,Terra,MODIS,35,61.03,286.7,5.3,D,0
37.2887,68.0088,304.1,1.2,1.1,2024-02-09,0532,Terra,MODIS,58,61.03,287.2,8,D,0
40.4226,70.2968,314.9,1.2,1.1,2024-02-09,0905,Aqua,MODIS,75,61.03,290,16.1,D,0
37.3682,69.3541,310.8,2.2,1.4,2024-02-12,0930,Aqua,MODIS,58,61.03,292,25.4,D,0
38.4837,68.214,301.1,1.1,1,2024-02-14,0538,Terra,MODIS,44,61.03,289.1,3.9,D,0
38.4821,68.226,301.2,1.1,1,2024-02-14,0538,Terra,MODIS,45,61.03,289.3,4,D,2
37.2508,69.058,310.5,1.2,1.1,2024-02-14,0914,Aqua,MODIS,55,61.03,293.6,9.7,D,0
37.917,68.8509,308.7,1.2,1.1,2024-02-14,0914,Aqua,MODIS,45,61.03,294.2,6.9,D,0
37.2867,68.7142,316.7,2.5,1.5,2024-02-15,0619,Terra,MODIS,77,61.03,283.7,57.1,D,0
37.281,68.7173,312.4,2.5,1.5,2024-02-15,0619,Terra,MODIS,72,61.03,282.7,46.6,D,0
37.2871,68.6903,302.1,2.5,1.5,2024-02-15,0619,Terra,MODIS,41,61.03,282.5,19.6,D,0
38.5506,68.7753,305,1.1,1,2024-02-23,0853,Aqua,MODIS,60,61.03,287.2,5.4,D,2
37.1891,69.1278,301.9,1.1,1.1,2024-02-24,0551,Terra,MODIS,43,61.03,277,7.8,D,0
37.4358,69.3769,314.2,1.1,1.1,2024-02-24,0551,Terra,MODIS,74,61.03,280.4,17.7,D,0
40.4216,70.3075,306.4,1.4,1.2,2024-03-04,0912,Aqua,MODIS,48,61.03,285.7,12.6,D,0
37.2012,68.5249,323.8,1.7,1.3,2024-03-08,0840,Aqua,MODIS,82,61.03,294.7,35.6,D,0
37.2048,68.5429,311.9,1.7,1.3,2024-03-08,0840,Aqua,MODIS,69,61.03,298.1,12.1,D,0
37.2023,68.5296,329.7,1.7,1.3,2024-03-08,0840,Aqua,MODIS,86,61.03,295.8,47.8,D,0
40.7047,70.7424,304.2,1.1,1.1,2024-03-08,0841,Aqua,MODIS,39,61.03,293,3.5,D,2
37.2003,69.1218,307,1.1,1.1,2024-03-09,0530,Terra,MODIS,61,61.03,291.8,7.4,D,0
37.2018,69.1093,308.5,1.1,1.1,2024-03-09,0530,Terra,MODIS,58,61.03,290.5,8.9,D,0
36.9801,68.0894,322,1,1,2024-03-11,0905,Aqua,MODIS,78,61.03,297,16.6,D,0
37.2609,69.4094,318,1.2,1.1,2024-03-16,0914,Aqua,MODIS,47,61.03,295.9,13.1,D,0
38.5547,68.7861,308.7,1.3,1.1,2024-03-17,0559,Terra,MODIS,62,61.03,292.2,7.3,D,2
37.1477,68.1518,312.2,1,1,2024-03-19,0542,Terra,MODIS,49,61.03,298.4,4.9,D,0
39.8516,70.581,304.4,1.1,1.1,2024-03-24,0547,Terra,MODIS,54,61.03,289.5,5.3,D,2
39.8537,70.5683,303.2,1.1,1.1,2024-03-24,0547,Terra,MODIS,45,61.03,289.5,4.3,D,2
38.5646,69.0155,307,1,1,2024-03-24,0548,Terra,MODIS,58,61.03,293,5.2,D,2
37.3584,69.3841,314.6,4.2,1.9,2024-03-25,0628,Terra,MODIS,64,61.03,296.6,73.9,D,0
40.3446,69.9015,306.2,1.1,1,2024-03-26,0530,Terra,MODIS,46,61.03,289,3.6,D,0
40.343,69.9141,320.3,1.1,1,2024-03-26,0530,Terra,MODIS,79,61.03,289.3,15.9,D,0
39.8486,70.5827,304.5,1.1,1,2024-04-05,0542,Terra,MODIS,37,61.03,291.4,3.1,D,2
39.8493,70.5727,310.1,1.3,1.1,2024-04-08,0838,Aqua,MODIS,44,61.03,297.2,5.1,D,2
39.8482,70.5762,308.2,1.2,1.1,2024-04-10,0548,Terra,MODIS,41,61.03,290.8,5,D,2
39.8459,70.5895,309.5,1.2,1.1,2024-04-10,0548,Terra,MODIS,49,61.03,292.1,6.5,D,0
39.877,70.5046,303.9,1,1,2024-04-17,0537,Terra,MODIS,47,61.03,291.2,2.5,D,0
39.851,70.5734,305.6,1.5,1.2,2024-05-02,0554,Terra,MODIS,51,61.03,289.1,7.9,D,2
39.8479,70.5894,305.7,1.5,1.2,2024-05-02,0554,Terra,MODIS,51,61.03,288.8,8.5,D,2
38.5575,68.7368,319.8,1.2,1.1,2024-05-02,0555,Terra,MODIS,38,61.03,300.3,11.2,D,2
38.525,68.5664,313.5,1.5,1.2,2024-05-07,0601,Terra,MODIS,71,61.03,300.4,11.6,D,2
38.5238,68.562,317,1.1,1.1,2024-05-12,0856,Aqua,MODIS,67,61.03,300.3,11.7,D,2
39.8545,70.5724,313.7,1.2,1.1,2024-05-14,0548,Terra,MODIS,36,61.03,299.4,5.8,D,2
