latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
13.3427,-14.4408,326.8,1,1,2024-01-01,1452,Aqua,MODIS,73,61.03,307.1,12.9,D,0
13.5527,-15.669,321,1,1,2024-01-01,1452,Aqua,MODIS,49,61.03,304.7,4.7,D,0
13.5432,-14.8534,328,1,1,2024-01-02,1104,Terra,MODIS,67,61.03,304.1,19.3,D,0
13.5418,-14.8443,315.3,1,1,2024-01-02,1104,Terra,MODIS,27,61.03,303.2,6,D,0
13.5296,-15.7427,318.4,4.1,1.9,2024-01-02,1533,Aqua,MODIS,63,61.03,301.8,89,D,0
13.5254,-15.7795,317.6,4.1,1.9,2024-01-02,1533,Aqua,MODIS,56,61.03,299,77.5,D,0
13.5334,-15.7477,321,4.1,1.9,2024-01-02,1533,Aqua,MODIS,66,61.03,302.8,103.6,D,0
13.291,-14.1204,332.1,1.2,1.1,2024-01-03,1437,Aqua,MODIS,32,61.03,314.7,20,D,0
13.2842,-14.1644,330.6,1.2,1.1,2024-01-03,1437,Aqua,MODIS,45,61.03,313.7,18.8,D,0
13.2932,-14.1273,333.1,1.2,1.1,2024-01-03,1437,Aqua,MODIS,67,61.03,314.6,22.6,D,0
13.3029,-14.1289,353.4,1.2,1.1,2024-01-03,1437,Aqua,MODIS,96,61.03,313.4,70.3,D,0
13.3012,-14.1399,339.5,1.2,1.1,2024-01-03,1437,Aqua,MODIS,63,61.03,313.3,33.6,D,0
13.2959,-14.1729,328.7,1.2,1.1,2024-01-03,1437,Aqua,MODIS,26,61.03,312.8,16.3,D,0
13.2942,-14.1839,340.7,1.2,1.1,2024-01-03,1437,Aqua,MODIS,88,61.03,311.1,40.8,D,0
13.3621,-14.0047,325.6,1.2,1.1,2024-01-03,1437,Aqua,MODIS,57,61.03,313,12.2,D,0
13.3485,-14.0916,326.8,1.2,1.1,2024-01-03,1437,Aqua,MODIS,53,61.03,314,14.1,D,0
13.3657,-15.676,328.7,2,1.4,2024-01-04,1518,Aqua,MODIS,76,61.03,304.8,45.5,D,0
13.1866,-15.8287,324.1,1.8,1.3,2024-01-05,1128,Terra,MODIS,80,61.03,303,33.1,D,0
13.257,-14.1997,339.1,1.4,1.2,2024-01-06,1502,Aqua,MODIS,81,61.03,315.5,34.9,D,0
13.2653,-14.1941,334.4,1.4,1.2,2024-01-06,1502,Aqua,MODIS,55,61.03,317.3,23,D,0
13.4389,-14.2123,343,1.4,1.2,2024-01-06,1503,Aqua,MODIS,88,61.03,315.1,50,D,0
13.4373,-14.2246,348.6,1.4,1.2,2024-01-06,1503,Aqua,MODIS,92,61.03,313.2,67,D,0
13.4353,-14.2174,341.3,1.4,1.2,2024-01-06,1503,Aqua,MODIS,86,61.03,314.3,46.1,D,0
13.4337,-14.2298,328.1,1.4,1.2,2024-01-06,1503,Aqua,MODIS,59,61.03,311.6,16.5,D,0
13.4455,-14.2189,328,1.4,1.2,2024-01-06,1503,Aqua,MODIS,59,61.03,312.7,15.3,D,0
13.2276,-15.9372,321.3,1.1,1,2024-01-06,1503,Aqua,MODIS,40,61.03,310.8,7.2,D,0
13.1651,-16.7198,321.9,1,1,2024-01-06,1503,Aqua,MODIS,58,61.03,311.8,9.2,D,0
13.316,-16.0371,324.6,1.1,1,2024-01-06,1503,Aqua,MODIS,26,61.03,307,11.3,D,0
13.3146,-16.0469,358,1.1,1,2024-01-06,1503,Aqua,MODIS,98,61.03,311.1,77.8,D,0
13.3133,-16.0568,346.2,1.1,1,2024-01-06,1503,Aqua,MODIS,91,61.03,309.8,47.7,D,0
13.3252,-16.0384,380,1.1,1,2024-01-06,1503,Aqua,MODIS,100,61.03,315.1,158.2,D,0
13.3239,-16.0483,371.1,1.1,1,2024-01-06,1503,Aqua,MODIS,100,61.03,315,121,D,0
13.3225,-16.0581,322.6,1.1,1,2024-01-06,1503,Aqua,MODIS,37,61.03,308,9.3,D,0
13.359,-15.8614,322.1,1.1,1,2024-01-06,1503,Aqua,MODIS,42,61.03,311.6,9,D,0
13.3577,-15.8714,331.3,1.1,1,2024-01-06,1503,Aqua,MODIS,76,61.03,309.6,21.6,D,0
13.3259,-16.7561,330.5,1,1,2024-01-06,1503,Aqua,MODIS,77,61.03,312.8,16.1,D,0
13.502,-14.5575,318.5,1.1,1.1,2024-01-07,1111,Terra,MODIS,36,61.03,305.8,8,D,0
13.5004,-14.5472,323.2,1.2,1.1,2024-01-07,1111,Terra,MODIS,66,61.03,308.8,13.4,D,0
13.4513,-14.2311,318.6,1.2,1.1,2024-01-07,1111,Terra,MODIS,53,61.03,307.8,6.6,D,0
13.4926,-14.559,328.2,1.1,1.1,2024-01-07,1111,Terra,MODIS,67,61.03,307.6,19.5,D,0
13.491,-14.5487,329.7,1.2,1.1,2024-01-07,1111,Terra,MODIS,71,61.03,307,22.1,D,0
13.353,-15.8885,323.3,1,1,2024-01-07,1111,Terra,MODIS,69,61.03,306,14.1,D,0
13.338,-16.0322,316,1,1,2024-01-07,1111,Terra,MODIS,21,61.03,305.6,5.6,D,0
13.2864,-15.8767,317.3,1,1,2024-01-07,1111,Terra,MODIS,54,61.03,306.7,8.4,D,0
13.3645,-15.9346,321.6,1.1,1.1,2024-01-08,1447,Aqua,MODIS,18,61.03,309.4,8,D,0
13.3822,-14.0782,336,1,1,2024-01-08,1447,Aqua,MODIS,79,61.03,320.6,21,D,0
13.4118,-14.3864,333.3,1,1,2024-01-08,1447,Aqua,MODIS,37,61.03,314.3,14.6,D,0
13.4105,-14.3956,370.5,1,1,2024-01-08,1447,Aqua,MODIS,100,61.03,321,100.5,D,0
13.4078,-14.4138,341.2,1,1,2024-01-08,1447,Aqua,MODIS,77,61.03,318.1,27.5,D,0
13.418,-14.4061,343.7,1,1,2024-01-08,1447,Aqua,MODIS,87,61.03,318.4,31.7,D,0
13.2671,-15.902,339.2,1.1,1.1,2024-01-08,1447,Aqua,MODIS,81,61.03,313.1,33.9,D,0
13.298,-15.8864,327.9,1.1,1.1,2024-01-08,1447,Aqua,MODIS,54,61.03,312.3,14.6,D,0
13.2451,-16.2338,320.6,1.2,1.1,2024-01-08,1447,Aqua,MODIS,44,61.03,306.9,10.5,D,0
13.2435,-16.2442,336.3,1.2,1.1,2024-01-08,1447,Aqua,MODIS,83,61.03,308.1,34,D,0
13.4706,-14.7956,356.8,1,1,2024-01-08,1447,Aqua,MODIS,98,61.03,316.6,63.6,D,0
13.4693,-14.8049,363.3,1,1,2024-01-08,1447,Aqua,MODIS,100,61.03,315.3,81.1,D,0
13.4813,-14.7943,342.1,1,1,2024-01-08,1447,Aqua,MODIS,87,61.03,317.4,29.5,D,0
13.4799,-14.8036,341.4,1,1,2024-01-08,1447,Aqua,MODIS,86,61.03,320,28.3,D,0
13.4902,-14.7957,334.6,1,1,2024-01-08,1447,Aqua,MODIS,79,61.03,317,18.9,D,0
13.3397,-15.9099,332.3,1.1,1.1,2024-01-08,1447,Aqua,MODIS,78,61.03,313.1,22.3,D,0
13.313,-16.0822,338.8,1.1,1.1,2024-01-08,1447,Aqua,MODIS,85,61.03,312,34.5,D,0
13.3505,-15.9014,334.5,1.1,1.1,2024-01-08,1447,Aqua,MODIS,81,61.03,312.5,24.3,D,0
13.349,-15.9115,353,1.1,1.1,2024-01-08,1447,Aqua,MODIS,96,61.03,312.9,63.5,D,0
13.3536,-15.9431,352.3,1.1,1.1,2024-01-08,1447,Aqua,MODIS,95,61.03,310.3,63.7,D,0
13.366,-15.9246,337.5,1.1,1.1,2024-01-08,1447,Aqua,MODIS,84,61.03,311.1,32.2,D,0
13.3629,-15.9447,333.1,1.1,1.1,2024-01-08,1447,Aqua,MODIS,79,61.03,310.9,24.7,D,0
13.3753,-15.9261,333.3,1.1,1.1,2024-01-08,1447,Aqua,MODIS,79,61.03,310.9,25.5,D,0
13.4994,-14.7906,302.5,1.1,1,2024-01-08,2241,Terra,MODIS,49,61.03,292.4,5.3,N,0
13.3985,-14.4047,300.6,1,1,2024-01-08,2241,Terra,MODIS,30,61.03,290,4.5,N,0
13.4506,-14.274,345.6,1.1,1,2024-01-09,1054,Terra,MODIS,92,61.03,312.9,45.3,D,0
13.4493,-14.2644,334.6,1.1,1,2024-01-09,1054,Terra,MODIS,84,61.03,311.8,24.5,D,0
13.4584,-14.2631,331.6,1.1,1,2024-01-09,1054,Terra,MODIS,80,61.03,310,20.6,D,0
13.6126,-14.5732,322.9,1.6,1.2,2024-01-10,1432,Aqua,MODIS,25,61.03,298,24.8,D,0
13.6078,-14.5838,309.7,1.9,1.3,2024-01-10,2224,Terra,MODIS,78,61.03,288.3,23.3,N,0
13.4131,-15.4153,301.2,2.2,1.4,2024-01-10,2224,Terra,MODIS,39,61.03,289.8,15.9,N,0
13.6129,-14.5785,309.7,1.9,1.3,2024-01-10,2224,Terra,MODIS,50,61.03,287.6,21.7,N,0
13.6102,-14.5953,309.8,1.9,1.3,2024-01-10,2224,Terra,MODIS,47,61.03,288.2,22.3,N,0
13.6195,-14.5859,307.6,1.9,1.3,2024-01-10,2224,Terra,MODIS,72,61.03,287,20.6,N,0
13.4525,-14.7735,336.6,1.9,1.3,2024-01-11,1513,Aqua,MODIS,83,61.03,312.2,51.5,D,0
13.4645,-14.775,326.6,1.9,1.3,2024-01-11,1513,Aqua,MODIS,47,61.03,311.7,20,D,0
13.447,-14.7797,327.2,1.9,1.3,2024-01-11,1513,Aqua,MODIS,46,61.03,313.1,21.5,D,0
13.4589,-14.7813,328.6,1.9,1.3,2024-01-11,1513,Aqua,MODIS,67,61.03,312,26.5,D,0
