latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-8.5612,125.5629,313.5,2.8,1.6,2024-01-03,0159,Terra,MODIS,35,61.03,293.4,28.3,D,2
-8.5555,125.5658,311.8,3.6,1.8,2024-03-06,0201,Terra,MODIS,0,61.03,288.4,38.2,D,2
-8.5569,125.5552,311,4,1.9,2024-03-23,0202,Terra,MODIS,25,61.03,292.1,38.5,D,2
-8.6481,125.8548,314.8,1,1,2024-03-27,0128,Terra,MODIS,28,61.03,299.3,6.9,D,0
-8.7418,125.2402,315,1.5,1.2,2024-04-23,0533,Aqua,MODIS,46,61.03,298.1,11.8,D,0
-8.7764,125.2298,315,1,1,2024-04-25,0124,Terra,MODIS,60,61.03,300.7,6.9,D,0
-8.7501,125.1653,312.1,2,1.4,2024-05-15,0146,Terra,MODIS,58,61.03,297.6,15.8,D,0
-9.0231,126.0774,315.9,1.3,1.1,2024-06-15,0538,Aqua,MODIS,28,61.03,294.5,13.4,D,0
-9.0247,126.0656,316.1,1.3,1.1,2024-06-15,0538,Aqua,MODIS,51,61.03,294.4,13.8,D,0
-9.0245,126.0711,323.5,1.3,1.1,2024-06-15,0538,Aqua,MODIS,74,61.03,294.9,24.5,D,0
-8.9285,125.3265,318.5,1.2,1.1,2024-06-20,0545,Aqua,MODIS,66,61.03,297.9,12.9,D,0
-8.7474,125.1737,315.1,2.4,1.5,2024-06-22,0528,Aqua,MODIS,68,61.03,295.3,26,D,0
-8.7447,125.1948,313.3,2.3,1.5,2024-06-22,0528,Aqua,MODIS,40,61.03,293.6,20.4,D,0
-8.5212,125.7895,334.3,1.1,1,2024-07-07,0123,Terra,MODIS,88,61.03,301.7,28.9,D,0
-8.5225,125.7989,317.3,1.1,1,2024-07-07,0123,Terra,MODIS,33,61.03,301.5,8.1,D,0
-8.617,126.1176,309.9,1.2,1.1,2024-07-09,0106,Terra,MODIS,60,61.03,297,6.1,D,0
-8.5467,126.3671,308.9,1.6,1.3,2024-07-09,0532,Aqua,MODIS,56,61.03,293.2,6.8,D,0
-8.5486,126.3527,310.1,1.6,1.3,2024-07-09,0532,Aqua,MODIS,60,61.03,295,9.4,D,0
-9.0674,125.1918,317.4,1,1,2024-07-12,0556,Aqua,MODIS,56,61.03,304.5,8.1,D,0
-9.0585,125.1904,315.9,1,1,2024-07-12,0556,Aqua,MODIS,55,61.03,305.7,6.3,D,0
-8.4653,126.3805,311.6,1,1,2024-07-14,0111,Terra,MODIS,64,61.03,300.5,4.8,D,0
-8.5421,126.3646,319.1,1.3,1.1,2024-07-14,0539,Aqua,MODIS,74,61.03,302,13.3,D,0
-8.4791,126.371,320.5,1.3,1.1,2024-07-14,0539,Aqua,MODIS,72,61.03,304.8,13.4,D,0
-8.5109,125.7963,306.6,1,1,2024-07-14,1326,Terra,MODIS,69,61.03,294.5,5.7,N,0
-9.1053,125.9546,311.6,1.1,1.1,2024-07-17,0603,Aqua,MODIS,49,61.03,292.3,8.5,D,0
-9.0358,124.9477,315.7,1.2,1.1,2024-07-22,0610,Aqua,MODIS,66,61.03,300.1,9.5,D,0
-8.2447,125.5321,318.5,1.2,1.1,2024-08-03,0606,Aqua,MODIS,60,61.03,301.8,11.3,D,0
-8.6751,125.7615,315.5,1,1,2024-08-10,0117,Terra,MODIS,70,61.03,299.5,8.9,D,0
-8.1989,125.6083,318.4,1,1,2024-08-10,0555,Aqua,MODIS,53,61.03,303.2,8.4,D,0
-8.2002,125.5994,323.6,1,1,2024-08-10,0555,Aqua,MODIS,72,61.03,304.6,14,D,0
-8.9671,126.0818,314.3,1.5,1.2,2024-08-12,0538,Aqua,MODIS,67,61.03,295.6,15.8,D,0
-8.969,126.068,314.7,1.6,1.2,2024-08-12,0538,Aqua,MODIS,68,61.03,295.3,16.9,D,0
-8.1825,125.6199,315.2,1.6,1.3,2024-08-12,0538,Aqua,MODIS,48,61.03,298.2,14.4,D,0
-8.7132,125.8728,306.5,1.1,1,2024-08-15,0121,Terra,MODIS,25,61.03,295.2,4.4,D,0
-9.0764,125.9922,311.6,1,1,2024-08-15,0601,Aqua,MODIS,46,61.03,300.3,5.4,D,0
-8.9711,126.075,315.3,1.1,1,2024-08-15,0601,Aqua,MODIS,63,61.03,301.7,8.3,D,0
-8.8836,125.3612,319.1,1,1,2024-08-15,0601,Aqua,MODIS,68,61.03,302.4,9.6,D,0
