latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-19.7313,-175.0777,311.3,1,1,2024-01-11,0154,Aqua,MODIS,23,61.03,295.4,5.8,D,1
-19.7328,-175.0731,329.6,1.1,1,2024-04-25,2111,Terra,MODIS,59,61.03,297.4,26,D,1
-19.7343,-175.0633,322.7,1.1,1,2024-04-25,2111,Terra,MODIS,0,61.03,297.1,17.1,D,1
-19.7325,-175.063,337.3,1.7,1.3,2024-04-26,0921,Terra,MODIS,100,61.03,288.8,0,N,1
-19.7343,-175.0789,352.1,1.7,1.3,2024-04-26,0921,Terra,MODIS,100,61.03,288.7,0,N,1
-19.7281,-175.0704,380.2,1,1,2024-04-26,1330,Aqua,MODIS,100,61.03,295.8,159.4,N,1
-19.7296,-175.0608,337.7,1,1,2024-04-26,1330,Aqua,MODIS,100,61.03,294.2,40.5,N,1
-19.7293,-175.0643,340,1.6,1.3,2024-04-27,1001,Terra,MODIS,100,61.03,292.5,0,N,1
-19.732,-175.0796,343.3,1.6,1.3,2024-04-27,1001,Terra,MODIS,100,61.03,292.3,0,N,1
-19.7301,-175.0706,355.2,1.6,1.3,2024-04-27,1001,Terra,MODIS,100,61.03,293,0,N,1
-19.7312,-175.0772,314.3,1.4,1.2,2024-04-28,2134,Terra,MODIS,53,61.03,298.3,15.4,D,1
-19.7329,-175.0633,317.6,1.4,1.2,2024-04-28,2134,Terra,MODIS,0,61.03,296.3,19.9,D,1
-19.7286,-175.0712,309,1,1,2024-07-10,1345,Aqua,MODIS,64,61.03,288.6,9.9,N,1
-19.7322,-175.0728,317.1,1,1,2024-07-16,0202,Aqua,MODIS,51,61.03,297.5,11.9,D,1
-21.1901,-175.1938,311.7,1,1,2024-08-07,0211,Aqua,MODIS,47,61.03,296.7,8.3,D,0
-21.2251,-175.127,316.6,1,1,2024-08-19,0206,Aqua,MODIS,64,61.03,297.3,10.7,D,0
-21.1583,-175.0727,310.4,1,1,2024-08-24,0211,Aqua,MODIS,26,61.03,295.6,7.1,D,0
-19.7337,-175.0688,314.1,1,1,2024-09-28,2107,Terra,MODIS,0,61.03,302.3,8.9,D,1
