latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
10.1751,-61.6836,311.8,1.4,1.2,2024-01-02,1423,Terra,MODIS,49,61.03,298.3,9.4,D,2
10.6597,-61.5075,313.3,1.2,1.1,2024-01-10,1748,Aqua,MODIS,33,61.03,298.3,10.5,D,2
10.5122,-61.4607,319.2,1.2,1.1,2024-01-10,1748,Aqua,MODIS,54,61.03,300.6,11.1,D,0
10.5025,-61.4592,336.2,1.2,1.1,2024-01-10,1748,Aqua,MODIS,67,61.03,302.1,37.5,D,0
10.4202,-61.481,307.7,1.1,1.1,2024-01-14,0204,Terra,MODIS,50,61.03,291.7,7.1,N,2
10.4984,-61.459,321,1,1,2024-01-27,1804,Aqua,MODIS,55,61.03,305.1,9.2,D,0
10.4123,-61.477,320,1,1,2024-01-27,1804,Aqua,MODIS,41,61.03,304.5,7.9,D,2
10.4135,-61.4836,306.5,1.2,1.1,2024-01-28,0143,Terra,MODIS,68,61.03,296.2,8.7,N,0
10.145,-61.3606,315.5,1,1,2024-02-03,1758,Aqua,MODIS,65,61.03,299.3,7.1,D,0
10.1901,-61.4288,321.6,1,1,2024-02-03,1758,Aqua,MODIS,75,61.03,302.5,10.1,D,0
10.0703,-61.619,323.5,1,1,2024-02-03,1758,Aqua,MODIS,0,61.03,300.6,14.2,D,0
10.1062,-61.4216,314,1.6,1.3,2024-02-05,1742,Aqua,MODIS,54,61.03,299.4,12,D,0
10.1085,-61.4071,316.3,1.6,1.3,2024-02-05,1742,Aqua,MODIS,62,61.03,299.6,16.5,D,0
10.4706,-61.4632,324.7,1,1,2024-02-07,1410,Terra,MODIS,76,61.03,295.1,15.6,D,2
10.1875,-61.5007,321,1.1,1.1,2024-02-10,1752,Aqua,MODIS,75,61.03,301.8,12.8,D,0
10.567,-61.3576,333,1,1,2024-02-15,1802,Aqua,MODIS,85,61.03,304.2,21.7,D,2
10.5683,-61.3486,327.3,1,1,2024-02-15,1802,Aqua,MODIS,80,61.03,303.9,14.7,D,0
10.5158,-61.4543,322.9,1,1,2024-02-15,1802,Aqua,MODIS,76,61.03,304.9,10.2,D,0
10.3496,-61.4538,330,1,1,2024-02-15,1802,Aqua,MODIS,0,61.03,305.1,19.1,D,2
10.2102,-61.4629,321.2,1,1,2024-02-15,1802,Aqua,MODIS,51,61.03,306.1,7,D,0
10.1722,-61.4755,319.3,1,1,2024-02-15,1802,Aqua,MODIS,38,61.03,299.9,7.5,D,0
10.0675,-61.6279,321.8,1,1,2024-02-15,1802,Aqua,MODIS,0,61.03,303.7,9.2,D,0
10.1567,-61.6415,313.3,1.5,1.2,2024-02-17,1746,Aqua,MODIS,45,61.03,296.8,10.9,D,0
10.2363,-61.3406,316.2,1.4,1.2,2024-02-17,1746,Aqua,MODIS,63,61.03,299.3,11.3,D,0
10.4046,-61.4444,320.2,1.4,1.2,2024-02-17,1746,Aqua,MODIS,74,61.03,302.7,12.6,D,0
10.2825,-61.3674,318,1.4,1.2,2024-02-17,1746,Aqua,MODIS,70,61.03,301.1,13.6,D,0
10.4794,-61.3944,328.1,1.3,1.1,2024-02-18,0601,Aqua,MODIS,100,61.03,293.5,37.8,N,0
10.4491,-61.0758,312.1,1,1,2024-02-19,1406,Terra,MODIS,56,61.03,299.7,4.9,D,0
10.1962,-61.4372,318.8,2.9,1.6,2024-02-19,1731,Aqua,MODIS,70,61.03,298.1,47.2,D,0
10.5877,-61.3891,317.2,1.2,1.1,2024-02-20,1812,Aqua,MODIS,46,61.03,294.3,7,D,0
10.3075,-61.421,318.8,1.1,1,2024-02-22,1756,Aqua,MODIS,39,61.03,297.2,10.1,D,2
10.5002,-61.3666,322.7,1.1,1,2024-02-22,1756,Aqua,MODIS,64,61.03,304,9.6,D,0
10.1837,-61.5021,321.1,1.1,1,2024-02-22,1756,Aqua,MODIS,45,61.03,304.1,8.6,D,0
10.0938,-61.551,318.4,1.1,1,2024-02-22,1756,Aqua,MODIS,51,61.03,302.5,7.9,D,0
10.0924,-61.5606,321.6,1.1,1,2024-02-22,1756,Aqua,MODIS,66,61.03,302.8,10.5,D,0
10.0886,-61.5584,320.1,1.1,1,2024-02-24,1412,Terra,MODIS,51,61.03,298.6,12.9,D,0
10.6352,-61.4486,314.5,1.1,1,2024-02-24,1412,Terra,MODIS,34,61.03,300.1,7.4,D,2
10.5977,-61.322,320.5,1.8,1.3,2024-02-24,1740,Aqua,MODIS,51,61.03,301.1,17.5,D,0
10.1982,-61.3638,316.7,1.8,1.3,2024-02-24,1740,Aqua,MODIS,64,61.03,295.6,24.7,D,0
10.608,-61.4071,321.4,1.8,1.3,2024-02-24,1740,Aqua,MODIS,65,61.03,299.7,22.9,D,0
10.6037,-61.4132,322.8,1.8,1.3,2024-02-24,1740,Aqua,MODIS,67,61.03,300.3,25.3,D,0
10.4069,-61.4532,320.1,1.7,1.3,2024-02-25,1821,Aqua,MODIS,71,61.03,298.6,12.1,D,2
10.2837,-61.3471,317.7,1.7,1.3,2024-02-25,1821,Aqua,MODIS,60,61.03,297.4,11.5,D,0
10.3024,-61.3806,325.4,1.7,1.3,2024-02-25,1821,Aqua,MODIS,77,61.03,298.5,25,D,0
10.3357,-61.2804,318.7,1,1,2024-02-27,1806,Aqua,MODIS,70,61.03,302.7,8.8,D,0
10.6226,-61.4036,316.6,1,1,2024-02-27,1806,Aqua,MODIS,38,61.03,292.3,5.7,D,2
10.6008,-61.3561,330.2,1,1,2024-02-27,1806,Aqua,MODIS,83,61.03,301.5,18.6,D,2
10.3678,-61.4407,322.6,1,1,2024-02-27,1806,Aqua,MODIS,47,61.03,301,8.9,D,2
10.3691,-61.4316,324,1,1,2024-02-27,1806,Aqua,MODIS,69,61.03,299.1,10.6,D,2
10.3551,-61.4015,313.7,1,1,2024-02-27,1806,Aqua,MODIS,11,61.03,292.8,4.1,D,0
10.3564,-61.3924,325.3,1,1,2024-02-27,1806,Aqua,MODIS,78,61.03,295.7,16,D,0
10.3476,-61.2596,314.3,1,1,2024-02-27,1806,Aqua,MODIS,61,61.03,301.5,5.3,D,0
10.3344,-61.2897,314.9,1,1,2024-02-27,1806,Aqua,MODIS,58,61.03,301.4,5.3,D,0
10.2354,-61.4062,323.3,1,1,2024-02-27,1806,Aqua,MODIS,75,61.03,299.8,11.9,D,0
10.2367,-61.3971,321.4,1,1,2024-02-27,1806,Aqua,MODIS,69,61.03,299.4,9.8,D,0
10.3049,-61.3118,322.3,1.3,1.1,2024-02-29,1750,Aqua,MODIS,75,61.03,300.6,15.1,D,0
10.366,-61.3857,317.8,1.3,1.1,2024-02-29,1750,Aqua,MODIS,64,61.03,302.2,9.2,D,0
10.4233,-61.4123,322.5,1.3,1.1,2024-02-29,1750,Aqua,MODIS,59,61.03,301.5,12.1,D,0
10.3203,-61.2117,315.1,1.2,1.1,2024-02-29,1750,Aqua,MODIS,53,61.03,297.5,9.6,D,0
10.1458,-61.3434,313.5,1.3,1.1,2024-02-29,1750,Aqua,MODIS,33,61.03,298.1,8.5,D,0
10.5877,-61.3359,321.1,1.3,1.1,2024-03-03,1815,Aqua,MODIS,39,61.03,299.2,12.4,D,2
10.4849,-61.3309,328.6,1,1,2024-03-05,1759,Aqua,MODIS,82,61.03,305.3,18.1,D,0
10.3119,-61.3264,317.6,1,1,2024-03-05,1759,Aqua,MODIS,19,61.03,300.9,6.7,D,0
10.3558,-61.0287,324.9,1,1,2024-03-05,1759,Aqua,MODIS,67,61.03,303.2,14.5,D,0
10.2968,-61.3549,328.3,1,1,2024-03-05,1759,Aqua,MODIS,81,61.03,306.3,14.6,D,0
10.2982,-61.3458,323.1,1,1,2024-03-05,1759,Aqua,MODIS,63,61.03,302.9,8.6,D,0
10.141,-61.4183,322.3,1,1,2024-03-05,1759,Aqua,MODIS,60,61.03,304.6,6.8,D,0
10.5774,-61.333,328.4,1,1,2024-03-05,1759,Aqua,MODIS,80,61.03,303.2,15.2,D,2
