latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
37.0824,40.3387,304,4.2,1.9,2024-01-01,1003,Aqua,MODIS,20,61.03,288.7,38,D,0
37.1446,40.6856,302.1,3.9,1.8,2024-01-01,1003,Aqua,MODIS,51,61.03,289,34.5,D,0
37.098,40.3725,305,4.1,1.9,2024-01-01,1003,Aqua,MODIS,60,61.03,288.7,46.1,D,0
37.0866,40.3289,301.8,4.2,1.9,2024-01-01,1003,Aqua,MODIS,48,61.03,288.4,32,D,0
37.1732,40.3897,302.2,4.1,1.9,2024-01-01,1003,Aqua,MODIS,51,61.03,288,33,D,0
37.1619,40.3911,305.7,4.1,1.9,2024-01-01,1003,Aqua,MODIS,62,61.03,288.5,48.2,D,0
37.2266,39.6454,305.4,4.5,2,2024-01-01,1003,Aqua,MODIS,61,61.03,286.7,59.8,D,0
37.2278,39.6367,300.1,4.5,2,2024-01-01,1003,Aqua,MODIS,17,61.03,286.5,30.3,D,0
37.1024,41.1688,300,3.7,1.8,2024-01-01,1003,Aqua,MODIS,16,61.03,288.8,25.5,D,0
37.0111,40.2872,305.4,4.1,1.9,2024-01-01,1141,Aqua,MODIS,27,61.03,283.7,44.3,D,0
37.0001,40.2798,306.9,4.1,1.9,2024-01-01,1141,Aqua,MODIS,39,61.03,282.4,51.7,D,0
36.9775,40.2897,301,4.1,1.9,2024-01-01,1141,Aqua,MODIS,16,61.03,282.9,31.8,D,0
37.4022,39.5759,304.9,1.1,1.1,2024-01-02,1044,Aqua,MODIS,60,61.03,285.8,8.2,D,0
37.5756,39.1008,303.1,1.2,1.1,2024-01-02,1044,Aqua,MODIS,55,61.03,283.9,7.7,D,0
37.4165,39.3738,304.1,1.2,1.1,2024-01-02,1044,Aqua,MODIS,56,61.03,282.6,9.7,D,0
36.722,39.2943,307.3,1.2,1.1,2024-01-02,1044,Aqua,MODIS,65,61.03,287.8,11.2,D,0
37.2191,39.6501,301.4,1.1,1.1,2024-01-02,1044,Aqua,MODIS,17,61.03,286,5.5,D,0
37.2513,39.6675,314.7,1.1,1.1,2024-01-02,1044,Aqua,MODIS,75,61.03,286.8,15,D,0
37.2492,39.6551,319.7,1.1,1.1,2024-01-02,1044,Aqua,MODIS,80,61.03,287.1,20.8,D,0
37.2999,39.6676,302.5,1.1,1.1,2024-01-02,1044,Aqua,MODIS,50,61.03,285.2,6.3,D,0
37.3068,39.6721,300.9,1.1,1.1,2024-01-02,1044,Aqua,MODIS,42,61.03,285,5.8,D,0
37.3033,39.5948,304.7,1.1,1.1,2024-01-02,1044,Aqua,MODIS,60,61.03,286.8,8.6,D,0
37.3698,39.6424,302.4,1.1,1.1,2024-01-02,1044,Aqua,MODIS,52,61.03,285.8,6,D,0
