latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
37.1158,62.3618,302.1,1.4,1.2,2024-01-02,0905,Aqua,MODIS,51,61.03,288,5.4,D,0
38.5261,64.9413,301,1.1,1,2024-01-02,0906,Aqua,MODIS,44,61.03,282,5.6,D,0
37.2958,62.3697,312.2,1.1,1,2024-01-05,0931,Aqua,MODIS,72,61.03,277.3,14.7,D,2
38.7085,57.1111,331.3,1.2,1.1,2024-01-05,0932,Aqua,MODIS,87,61.03,291.8,36.1,D,0
38.4176,56.3584,302.7,1.3,1.1,2024-01-05,0932,Aqua,MODIS,38,61.03,290.7,4.9,D,0
38.7108,57.1241,314.3,1.2,1.1,2024-01-05,0932,Aqua,MODIS,72,61.03,292.1,13.3,D,0
38.4967,61.3739,319.2,1.2,1.1,2024-01-10,0942,Aqua,MODIS,79,61.03,287.5,22.7,D,0
37.3715,60.6211,300.6,1.1,1.1,2024-01-10,0942,Aqua,MODIS,29,61.03,284.9,5.6,D,0
37.4474,60.5751,302.4,1.1,1.1,2024-01-10,0942,Aqua,MODIS,52,61.03,287.2,5.7,D,0
38.5309,61.3708,345.9,2.8,1.6,2024-01-13,0655,Terra,MODIS,77,61.03,288.3,247.9,D,0
37.4814,65.3116,316.8,1,1,2024-01-14,0911,Aqua,MODIS,47,61.03,286.7,13.4,D,0
37.4915,65.315,309.7,1,1,2024-01-14,0911,Aqua,MODIS,57,61.03,287.1,9.2,D,0
37.4898,65.3038,308,1,1,2024-01-14,0911,Aqua,MODIS,58,61.03,287.6,8.4,D,0
37.7104,65.4808,303.7,1,1,2024-01-14,0911,Aqua,MODIS,55,61.03,285.3,4.4,D,0
39.0434,54.2542,307.2,1,1,2024-01-15,0638,Terra,MODIS,65,61.03,273.3,12.1,D,0
39.0385,54.2526,308.3,1.4,1.2,2024-01-17,0937,Aqua,MODIS,67,61.03,286.7,10.9,D,0
39.0345,54.2488,308.1,1.4,1.2,2024-01-17,0937,Aqua,MODIS,66,61.03,286.7,10.7,D,0
39.0341,54.2513,303.2,2.3,1.5,2024-01-19,0922,Aqua,MODIS,55,61.03,287.3,12,D,0
39.0447,54.2524,305.2,1,1,2024-01-20,0645,Terra,MODIS,61,61.03,282.9,7.5,D,0
37.409,60.6207,302.2,2.1,1.4,2024-01-20,1002,Aqua,MODIS,51,61.03,291,10.9,D,0
39.0347,54.2477,304.8,1.1,1,2024-01-20,1003,Aqua,MODIS,57,61.03,289.9,4.3,D,0
41.8149,58.8892,305.6,1.2,1.1,2024-01-22,0948,Aqua,MODIS,62,61.03,286.2,9.1,D,0
41.8854,58.7125,303.3,1.2,1.1,2024-01-22,0948,Aqua,MODIS,56,61.03,284.1,8.1,D,0
37.5134,65.3154,307.4,1.6,1.3,2024-01-23,0850,Aqua,MODIS,29,61.03,284.5,15,D,0
37.5098,65.2976,324.2,1.6,1.3,2024-01-23,0850,Aqua,MODIS,50,61.03,284.7,41.8,D,0
37.7397,64.811,301,1.7,1.3,2024-01-23,0850,Aqua,MODIS,36,61.03,288.2,8.9,D,0
39.0465,54.2547,301.6,1.8,1.3,2024-01-29,0617,Terra,MODIS,48,61.03,280.2,14,D,0
39.3973,53.1768,300.2,1.1,1,2024-02-01,0640,Terra,MODIS,31,61.03,279.8,6.6,D,2
39.3957,53.189,323.4,1.1,1,2024-02-01,0640,Terra,MODIS,72,61.03,280.8,26.1,D,2
39.0413,54.2557,300.7,1,1,2024-02-01,0640,Terra,MODIS,41,61.03,274.9,7.3,D,0
39.0426,54.2493,303.1,1.1,1,2024-02-01,1744,Terra,MODIS,53,61.03,273,11.9,N,0
39.041,54.2568,308.1,1,1,2024-02-03,0952,Aqua,MODIS,66,61.03,289.9,6,D,0
39.3978,53.1857,305.6,1.1,1,2024-02-03,0952,Aqua,MODIS,58,61.03,289.2,5.3,D,2
39.0391,54.2452,308.3,1,1,2024-02-03,0952,Aqua,MODIS,67,61.03,290.7,6.1,D,0
39.0397,54.2534,309.9,1.5,1.2,2024-02-04,0704,Terra,MODIS,69,61.03,284.8,15.3,D,0
41.2042,60.8028,309.1,1.2,1.1,2024-02-05,0606,Terra,MODIS,68,61.03,278.5,13.5,D,0
37.9676,65.114,320.3,1.5,1.2,2024-02-05,0936,Aqua,MODIS,0,61.03,283.8,34.8,D,0
37.7285,65.4521,300,1.6,1.2,2024-02-05,0936,Aqua,MODIS,24,61.03,282.4,7.9,D,0
37.487,65.3318,304.1,1.5,1.2,2024-02-05,0936,Aqua,MODIS,58,61.03,281.1,11.9,D,0
37.4888,65.3491,305.6,1.5,1.2,2024-02-05,0936,Aqua,MODIS,62,61.03,281.9,13.4,D,0
37.0263,62.4157,303.7,1.1,1,2024-02-05,0936,Aqua,MODIS,53,61.03,287.8,4.5,D,0
39.0028,56.4262,301.9,1.2,1.1,2024-02-05,0936,Aqua,MODIS,28,61.03,288.6,4.5,D,0
39.1551,56.3429,302.1,1.2,1.1,2024-02-05,0937,Aqua,MODIS,50,61.03,288.4,5.7,D,0
39.0378,54.2471,310.3,1.5,1.2,2024-02-05,0937,Aqua,MODIS,65,61.03,293.6,9.2,D,0
