latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
4.0445,33.8474,318.6,3.4,1.7,2024-01-01,0709,Terra,MODIS,0,61.03,289.1,55.2,D,0
3.2702,32.5737,322.4,1.4,1.2,2024-01-01,1132,Aqua,MODIS,77,61.03,296.5,20.8,D,0
3.2683,32.5612,326.1,1.4,1.2,2024-01-01,1132,Aqua,MODIS,81,61.03,294.3,27.5,D,0
3.3556,32.1735,322.6,1.5,1.2,2024-01-01,1132,Aqua,MODIS,67,61.03,285.4,23.3,D,0
3.489,32.1276,327.4,1.5,1.2,2024-01-01,1132,Aqua,MODIS,70,61.03,297.5,28.7,D,0
3.5235,32.2834,323.5,1.5,1.2,2024-01-01,1132,Aqua,MODIS,67,61.03,296.6,24.3,D,0
2.1459,31.616,319.3,1.7,1.3,2024-01-01,1132,Aqua,MODIS,75,61.03,296.3,25.6,D,0
3.6218,31.4139,317.9,1.7,1.3,2024-01-01,1132,Aqua,MODIS,72,61.03,297.8,16.3,D,0
3.9736,33.9938,328.7,1.1,1.1,2024-01-01,1132,Aqua,MODIS,82,61.03,288.8,27.3,D,0
2.5961,31.5485,322.6,1.7,1.3,2024-01-01,1132,Aqua,MODIS,78,61.03,296.9,28,D,0
3.5215,32.2704,332.9,1.5,1.2,2024-01-01,1132,Aqua,MODIS,74,61.03,291.7,45.5,D,0
3.225,31.211,313.1,1,1,2024-01-02,0750,Terra,MODIS,40,61.03,293,4.6,D,0
3.7521,31.3315,315.8,1,1,2024-01-02,0750,Terra,MODIS,62,61.03,298.7,6.1,D,0
3.648,31.5376,314.7,1,1,2024-01-02,0750,Terra,MODIS,60,61.03,299.8,5.3,D,0
3.4241,31.8089,321.3,1,1,2024-01-02,0750,Terra,MODIS,50,61.03,301.5,7.6,D,0
3.4228,31.8176,319,1,1,2024-01-02,0750,Terra,MODIS,35,61.03,300.1,6.1,D,0
3.4196,31.4026,324.2,1,1,2024-01-02,0750,Terra,MODIS,76,61.03,299.9,12.9,D,0
1.553,34.393,311.1,1.2,1.1,2024-01-02,0750,Terra,MODIS,24,61.03,296,5.2,D,0
3.4047,31.8773,322.4,2.1,1.4,2024-01-02,1213,Aqua,MODIS,71,61.03,300.9,24.6,D,0
3.4073,31.8957,324.7,2.1,1.4,2024-01-02,1213,Aqua,MODIS,75,61.03,298.7,31.8,D,0
3.3325,31.6342,320.8,2,1.4,2024-01-02,1213,Aqua,MODIS,61,61.03,299.6,24.9,D,0
3.3227,31.8328,321.2,2,1.4,2024-01-02,1213,Aqua,MODIS,68,61.03,300.1,21.1,D,0
3.3252,31.851,322.7,2.1,1.4,2024-01-02,1213,Aqua,MODIS,70,61.03,301,24.5,D,0
3.321,31.8386,325.1,2,1.4,2024-01-02,1213,Aqua,MODIS,69,61.03,300,31,D,0
3.4292,31.4042,321.8,1.9,1.3,2024-01-02,1213,Aqua,MODIS,72,61.03,299.3,22.5,D,0
3.4347,31.7021,326.6,2,1.4,2024-01-02,1213,Aqua,MODIS,73,61.03,300.8,34.7,D,0
3.4102,31.8882,321.9,2.1,1.4,2024-01-02,1213,Aqua,MODIS,50,61.03,300,22.2,D,0
3.6716,31.7261,318.6,2,1.4,2024-01-02,1213,Aqua,MODIS,60,61.03,297.3,17.9,D,0
3.676,31.7382,317.5,2,1.4,2024-01-02,1213,Aqua,MODIS,61,61.03,296.8,15.9,D,0
3.7497,31.1644,318,1.8,1.3,2024-01-02,1213,Aqua,MODIS,66,61.03,300.8,13.8,D,0
3.7556,31.1582,319.2,1.8,1.3,2024-01-02,1213,Aqua,MODIS,68,61.03,300.8,15.2,D,0
3.4362,31.4147,320.6,1.9,1.3,2024-01-02,1213,Aqua,MODIS,68,61.03,300.7,20.7,D,0
3.3978,31.8899,323.4,2.1,1.4,2024-01-02,1213,Aqua,MODIS,66,61.03,299.3,27.3,D,0
2.0675,34.0322,320.1,2.3,1.5,2024-01-03,1116,Aqua,MODIS,38,61.03,301.6,28.3,D,0
3.0978,32.736,315,2.8,1.6,2024-01-03,1116,Aqua,MODIS,50,61.03,294.9,24.8,D,0
3.0942,32.7415,316.8,2.8,1.6,2024-01-03,1116,Aqua,MODIS,53,61.03,294.9,31,D,0
2.9342,33.8692,324.6,2.3,1.5,2024-01-03,1116,Aqua,MODIS,56,61.03,300.2,39.1,D,0
2.9636,34.4122,322.7,2.1,1.4,2024-01-03,1116,Aqua,MODIS,55,61.03,304.3,27.8,D,0
2.9512,34.4142,320.1,2.1,1.4,2024-01-03,1116,Aqua,MODIS,46,61.03,300.8,20.2,D,0
2.4664,31.7285,320.4,3.4,1.7,2024-01-03,1116,Aqua,MODIS,73,61.03,280.4,97.3,D,0
2.4702,31.7353,312.1,3.4,1.7,2024-01-03,1116,Aqua,MODIS,31,61.03,281.3,53,D,0
2.5452,33.6366,318.9,2.4,1.5,2024-01-03,1116,Aqua,MODIS,42,61.03,298.9,35.3,D,0
2.5484,33.6575,325,2.4,1.5,2024-01-03,1116,Aqua,MODIS,70,61.03,300.2,56.8,D,0
2.4542,34.0709,325.8,2.2,1.4,2024-01-03,1116,Aqua,MODIS,50,61.03,302.4,45.3,D,0
2.4545,34.0777,324.2,2.2,1.4,2024-01-03,1116,Aqua,MODIS,45,61.03,301.2,39.9,D,0
1.8992,34.1303,323.3,2.3,1.5,2024-01-03,1116,Aqua,MODIS,49,61.03,299.3,43.5,D,0
1.9023,34.15,318,2.2,1.5,2024-01-03,1116,Aqua,MODIS,32,61.03,295.1,26.9,D,0
1.9,34.1371,329.7,2.3,1.5,2024-01-03,1116,Aqua,MODIS,79,61.03,299.9,67.3,D,0
3.5155,33.1997,345.2,2.5,1.5,2024-01-03,1117,Aqua,MODIS,92,61.03,302.8,161.7,D,0
3.6227,32.2007,323.8,3,1.6,2024-01-03,1117,Aqua,MODIS,45,61.03,299.9,49.5,D,0
3.7709,33.8489,316.8,2.2,1.4,2024-01-03,1117,Aqua,MODIS,20,61.03,296.3,30,D,0
3.6284,33.1016,329.8,2.5,1.5,2024-01-03,1117,Aqua,MODIS,79,61.03,303.7,65.9,D,0
3.6319,33.1241,323,2.5,1.5,2024-01-03,1117,Aqua,MODIS,69,61.03,304.4,35.6,D,0
3.3405,31.9527,318.7,3.2,1.7,2024-01-03,1117,Aqua,MODIS,65,61.03,299.9,40.3,D,0
3.3449,31.9807,324.1,3.2,1.7,2024-01-03,1117,Aqua,MODIS,75,61.03,297.1,68,D,0
3.5229,33.1935,338,2.5,1.5,2024-01-03,1117,Aqua,MODIS,87,61.03,303.2,113.2,D,0
3.5094,33.1954,339.2,2.5,1.5,2024-01-03,1117,Aqua,MODIS,88,61.03,302.7,121.1,D,0
3.342,31.9576,322.3,3.2,1.7,2024-01-03,1117,Aqua,MODIS,58,61.03,299.8,54.4,D,0
3.3462,31.9855,320.3,3.2,1.7,2024-01-03,1117,Aqua,MODIS,57,61.03,296.8,43.9,D,0
3.5121,33.1777,338.7,2.5,1.5,2024-01-03,1117,Aqua,MODIS,87,61.03,300.5,117.9,D,0
3.5969,31.6677,301.7,3.2,1.7,2024-01-03,1914,Terra,MODIS,43,61.03,289.8,23.6,N,0
3.5211,33.4323,303.9,1.3,1.1,2024-01-03,2335,Aqua,MODIS,58,61.03,291.4,8.5,N,0
3.7563,33.56,321.9,1.2,1.1,2024-01-04,0733,Terra,MODIS,73,61.03,296.9,21.2,D,0
3.0913,33.7028,321.5,1.2,1.1,2024-01-04,0733,Terra,MODIS,69,61.03,305,9.4,D,0
3.1558,33.6215,320.3,1.2,1.1,2024-01-04,0733,Terra,MODIS,37,61.03,303.7,8.9,D,0
3.1037,34.1953,343.9,1.1,1.1,2024-01-04,0733,Terra,MODIS,91,61.03,303.3,45.6,D,0
3.1277,34.0266,323.9,1.1,1.1,2024-01-04,0733,Terra,MODIS,72,61.03,303.5,10.7,D,0
3.113,34.1966,322.1,1.1,1.1,2024-01-04,0733,Terra,MODIS,68,61.03,304.2,10.3,D,0
3.2516,33.57,314.3,1.2,1.1,2024-01-04,0733,Terra,MODIS,42,61.03,300.1,6.2,D,0
3.3369,33.713,320.8,1.2,1.1,2024-01-04,0733,Terra,MODIS,47,61.03,303.3,9.6,D,0
3.3465,33.7143,367.9,1.2,1.1,2024-01-04,0733,Terra,MODIS,100,61.03,306,127.6,D,0
3.4368,33.2869,314.4,1.3,1.1,2024-01-04,0733,Terra,MODIS,48,61.03,299.5,8.3,D,0
3.6672,31.9124,318,1.6,1.2,2024-01-04,0733,Terra,MODIS,49,61.03,300.6,13.3,D,0
3.5982,32.871,323.2,1.4,1.2,2024-01-04,0733,Terra,MODIS,75,61.03,299.7,22.5,D,0
3.5999,32.8592,312.1,1.4,1.2,2024-01-04,0733,Terra,MODIS,43,61.03,299.4,7.1,D,0
3.5751,33.1752,338.7,1.3,1.1,2024-01-04,0733,Terra,MODIS,88,61.03,301.3,48.3,D,0
3.5767,33.1639,321.1,1.3,1.1,2024-01-04,0733,Terra,MODIS,48,61.03,302.3,14.5,D,0
2.6453,31.6542,313.4,1.6,1.2,2024-01-04,0733,Terra,MODIS,66,61.03,298,10.1,D,0
2.7831,31.01,319.3,1.8,1.3,2024-01-04,0733,Terra,MODIS,76,61.03,299.1,25.4,D,0
2.7796,31.0153,318.2,1.8,1.3,2024-01-04,0733,Terra,MODIS,74,61.03,299.4,21.4,D,0
2.4892,33.6075,319,1.2,1.1,2024-01-04,0733,Terra,MODIS,68,61.03,303.4,9.8,D,0
2.7062,33.8856,332.3,1.1,1.1,2024-01-04,0733,Terra,MODIS,83,61.03,305.6,22.1,D,0
3.1793,32.3562,330.4,1.4,1.2,2024-01-04,0733,Terra,MODIS,83,61.03,300.9,37,D,0
3.1513,33.6255,323,1.2,1.1,2024-01-04,0733,Terra,MODIS,72,61.03,304.1,17.1,D,0
2.1863,31.8271,321.1,1.1,1,2024-01-04,1157,Aqua,MODIS,73,61.03,300.7,13.2,D,0
2.1849,31.8175,330,1.1,1,2024-01-04,1157,Aqua,MODIS,83,61.03,301.1,24.1,D,0
1.5094,34.3629,321,1.5,1.2,2024-01-04,1157,Aqua,MODIS,45,61.03,300.4,18,D,0
1.1383,31.7752,317,1.1,1,2024-01-04,1157,Aqua,MODIS,67,61.03,302.4,6.1,D,0
1.5156,34.3688,335.2,1.5,1.2,2024-01-04,1157,Aqua,MODIS,83,61.03,300.6,51.1,D,0
1.5263,34.3673,325.3,1.5,1.2,2024-01-04,1157,Aqua,MODIS,63,61.03,300.8,25.8,D,0
1.8215,34.2797,369,1.5,1.2,2024-01-04,1157,Aqua,MODIS,100,61.03,304.5,185.4,D,0
1.8196,34.2666,344.1,1.5,1.2,2024-01-04,1157,Aqua,MODIS,90,61.03,304.7,72.5,D,0
1.5305,31.8766,317.3,1.1,1,2024-01-04,1157,Aqua,MODIS,60,61.03,303.6,8.3,D,0
2.2683,33.9598,322.2,1.4,1.2,2024-01-04,1157,Aqua,MODIS,62,61.03,303.5,12.9,D,0
2.1942,31.8162,333.9,1.1,1,2024-01-04,1157,Aqua,MODIS,86,61.03,303.4,29,D,0
2.1548,31.5424,328,1.1,1,2024-01-04,1157,Aqua,MODIS,82,61.03,300.9,19.6,D,0
2.1535,31.533,326.6,1.1,1,2024-01-04,1157,Aqua,MODIS,80,61.03,303.7,16.9,D,0
2.1955,31.8258,326,1.1,1,2024-01-04,1157,Aqua,MODIS,79,61.03,301.8,18.1,D,0
2.2744,33.9661,325.7,1.4,1.2,2024-01-04,1157,Aqua,MODIS,69,61.03,302.8,20.1,D,0
2.0883,31.8468,320,1.1,1,2024-01-04,1157,Aqua,MODIS,72,61.03,299.5,13.1,D,0
3.4796,32.8691,321.6,1.3,1.1,2024-01-04,1158,Aqua,MODIS,64,61.03,302,12.9,D,0
3.3272,31.8768,322.4,1.1,1.1,2024-01-04,1158,Aqua,MODIS,66,61.03,306.6,9.2,D,0
3.3286,31.8867,323.4,1.1,1.1,2024-01-04,1158,Aqua,MODIS,68,61.03,306.7,10.4,D,0
3.5223,33.2386,324.6,1.3,1.1,2024-01-04,1158,Aqua,MODIS,68,61.03,304.5,18.3,D,0
3.3221,31.9078,326.3,1.1,1.1,2024-01-04,1158,Aqua,MODIS,74,61.03,305.4,14,D,0
3.5086,33.2891,323.5,1.4,1.2,2024-01-04,1158,Aqua,MODIS,66,61.03,305.5,17.2,D,0
3.3275,32.0804,329,1.1,1.1,2024-01-04,1158,Aqua,MODIS,77,61.03,305.5,20.7,D,0
3.2395,31.7055,320.7,1.1,1,2024-01-04,1158,Aqua,MODIS,64,61.03,303,10.3,D,0
3.2409,31.7151,323.6,1.1,1,2024-01-04,1158,Aqua,MODIS,70,61.03,303.7,13.8,D,0
3.3721,32.6873,320,1.2,1.1,2024-01-04,1158,Aqua,MODIS,62,61.03,302.6,11.7,D,2
3.3255,32.4327,334.1,1.2,1.1,2024-01-04,1158,Aqua,MODIS,83,61.03,306.8,26.7,D,0
3.327,32.4431,320.6,1.2,1.1,2024-01-04,1158,Aqua,MODIS,38,61.03,304.5,6.8,D,0
3.2737,32.2077,324.1,1.2,1.1,2024-01-04,1158,Aqua,MODIS,71,61.03,307.7,11.2,D,0
3.3032,32.4147,321.8,1.2,1.1,2024-01-04,1158,Aqua,MODIS,36,61.03,306.1,7.6,D,0
3.0872,31.0368,320.6,1,1,2024-01-04,1158,Aqua,MODIS,67,61.03,307.3,6.3,D,0
3.2474,32.1594,321.7,1.2,1.1,2024-01-04,1158,Aqua,MODIS,56,61.03,306.4,8.2,D,0
3.2422,32.1914,328.6,1.2,1.1,2024-01-04,1158,Aqua,MODIS,77,61.03,306.5,16.1,D,0
3.2729,32.4085,327.6,1.2,1.1,2024-01-04,1158,Aqua,MODIS,76,61.03,307.5,15.4,D,0
3.2818,32.4712,342.8,1.2,1.1,2024-01-04,1158,Aqua,MODIS,90,61.03,305,47.1,D,0
3.2342,32.2029,322,1.2,1.1,2024-01-04,1158,Aqua,MODIS,53,61.03,305.2,8.4,D,0
3.0746,31.1421,324,1,1,2024-01-04,1158,Aqua,MODIS,47,61.03,308.8,8.8,D,0
3.1977,32.0123,320.5,1.1,1.1,2024-01-04,1158,Aqua,MODIS,63,61.03,305.1,9.5,D,0
3.2233,32.194,331.9,1.2,1.1,2024-01-04,1158,Aqua,MODIS,81,61.03,307.6,22.1,D,0
3.2247,32.2042,336.1,1.2,1.1,2024-01-04,1158,Aqua,MODIS,85,61.03,307.1,29.8,D,0
