latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
23.3077,54.1781,313.2,1.1,1,2024-01-01,1758,Terra,MODIS,86,61.03,290.1,15,N,0
23.832,53.6272,312.8,1,1,2024-01-06,1805,Terra,MODIS,86,61.03,286.3,13.6,N,2
24.061,54.3192,300.3,1,1,2024-01-09,2243,Aqua,MODIS,25,61.03,283.1,7.2,N,0
23.8348,53.6711,303.4,1,1,2024-01-28,2243,Aqua,MODIS,55,61.03,284.5,7.4,N,0
25.0169,55.0821,306,1,1,2024-02-16,2241,Aqua,MODIS,67,61.03,292.9,6.8,N,0
24.0662,54.3186,307,1.7,1.3,2024-02-19,1822,Terra,MODIS,70,61.03,287.8,19.4,N,0
24.0619,54.3216,305.7,2.1,1.4,2024-02-19,2306,Aqua,MODIS,65,61.03,284.6,27.7,N,0
22.9924,53.9233,304.4,1,1,2024-02-21,1805,Terra,MODIS,60,61.03,287.5,8.6,N,0
24.1163,52.7533,306.2,3.5,1.8,2024-02-22,1845,Terra,MODIS,67,61.03,287.3,52.4,N,0
24.1121,52.7483,306.3,3.5,1.8,2024-02-22,1845,Terra,MODIS,65,61.03,287.2,47.1,N,2
24.0652,54.3091,302.3,2.2,1.4,2024-02-24,1828,Terra,MODIS,48,61.03,287.4,18.1,N,0
24.0617,54.3133,304.6,1.2,1.1,2024-02-26,1811,Terra,MODIS,61,61.03,288.9,8.7,N,0
24.0631,54.3244,301.1,1.2,1.1,2024-02-26,1811,Terra,MODIS,37,61.03,289.1,6.3,N,0
22.9923,53.92,303.7,1.1,1,2024-02-26,1811,Terra,MODIS,57,61.03,288.4,9,N,0
24.7532,55.4799,354.6,1.1,1.1,2024-02-27,0956,Aqua,MODIS,91,61.03,303.4,76.8,D,0
22.9865,53.9158,311.8,1.1,1.1,2024-02-28,1754,Terra,MODIS,83,61.03,290.8,14.6,N,0
22.9926,53.9223,300,1,1,2024-02-28,2245,Aqua,MODIS,8,61.03,288.8,5.7,N,0
24.0609,54.3142,301,1.4,1.2,2024-03-02,1818,Terra,MODIS,36,61.03,282.3,11.7,N,0
24.0675,54.3152,301.9,3.9,1.8,2024-03-03,1720,Terra,MODIS,46,61.03,284,47.1,N,0
24.06,54.3221,307.6,3.9,1.8,2024-03-03,1720,Terra,MODIS,72,61.03,284,69.9,N,0
22.9126,53.9532,324.5,1,1,2024-03-06,2238,Aqua,MODIS,100,61.03,287.5,25.5,N,0
24.0551,54.3246,307.6,3,1.6,2024-03-08,1726,Terra,MODIS,72,61.03,288.6,38.4,N,0
24.0573,54.319,316.2,3,1.6,2024-03-08,1727,Terra,MODIS,93,61.03,289.3,70.6,N,0
24.1267,52.7445,301.9,2,1.4,2024-03-08,2222,Aqua,MODIS,45,61.03,275.3,15.4,N,0
24.1145,52.743,326.9,2,1.4,2024-03-08,2222,Aqua,MODIS,100,61.03,271.3,70.4,N,0
24.1125,52.7621,322.5,2,1.4,2024-03-08,2222,Aqua,MODIS,100,61.03,279.6,57.1,N,2
24.0607,54.3196,302.9,1.1,1,2024-03-09,1807,Terra,MODIS,52,61.03,288.7,6.2,N,0
24.1206,52.7028,305.4,1.4,1.2,2024-03-09,2303,Aqua,MODIS,64,61.03,290,11.9,N,0
25.1679,55.4165,316.7,1.1,1,2024-03-10,0959,Aqua,MODIS,53,61.03,302.7,5.7,D,0
24.0632,54.3185,316.1,1.2,1.1,2024-03-11,1750,Terra,MODIS,92,61.03,290.8,18.3,N,0
24.1274,52.7028,309.6,1,1,2024-03-11,2247,Aqua,MODIS,78,61.03,290.8,9.6,N,0
