latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
51.5638,-3.7686,304.9,1,1,2024-01-09,1043,Terra,MODIS,0,61.03,273.8,11.2,D,2
51.5757,-3.7687,301.1,2,1.4,2024-01-22,0336,Aqua,MODIS,38,61.03,279.1,23.7,N,2
58.1543,-5.1865,344.9,1.6,1.2,2024-01-28,1402,Aqua,MODIS,81,61.03,280.5,105.4,D,0
58.168,-5.1696,352.8,1.6,1.2,2024-01-28,1402,Aqua,MODIS,71,61.03,280,132.5,D,0
58.1548,-5.1937,334.7,1.6,1.2,2024-01-28,1402,Aqua,MODIS,80,61.03,280.8,69.7,D,0
58.1568,-5.1671,321.7,1.6,1.2,2024-01-28,1402,Aqua,MODIS,23,61.03,276.9,35.8,D,0
58.1675,-5.1623,336.5,1.6,1.2,2024-01-28,1402,Aqua,MODIS,0,61.03,279.1,73.6,D,0
58.1521,-5.213,315.5,1.6,1.2,2024-01-28,1402,Aqua,MODIS,28,61.03,278.8,28.7,D,0
56.0926,-3.3013,315,1.1,1.1,2024-02-07,1040,Terra,MODIS,75,61.03,274.3,21.8,D,0
51.5687,-3.767,304.3,1,1,2024-02-12,1048,Terra,MODIS,44,61.03,281.5,8.8,D,2
50.7861,-1.8583,301.2,1.1,1,2024-02-15,1317,Aqua,MODIS,43,61.03,276.8,7,D,0
53.5645,-0.596,324.4,1,1,2024-02-19,1036,Terra,MODIS,78,61.03,283,25.1,D,2
53.5618,-0.6088,306.4,1.3,1.1,2024-02-24,1256,Aqua,MODIS,55,61.03,283.7,14.6,D,2
53.5656,-0.5898,303.1,1.3,1.1,2024-02-24,1256,Aqua,MODIS,47,61.03,282.3,11.6,D,2
53.5645,-0.5971,309.1,2.2,1.4,2024-02-24,2154,Terra,MODIS,68,61.03,272.6,42.2,N,2
53.5636,-0.6037,308.5,2.2,1.4,2024-02-24,2154,Terra,MODIS,75,61.03,272.3,42.9,N,2
53.569,-0.5935,305.6,1.1,1.1,2024-03-01,0235,Aqua,MODIS,65,61.03,271.6,14.5,N,2
51.5763,-3.7773,314.7,1.2,1.1,2024-03-02,0317,Aqua,MODIS,86,61.03,274.1,23.1,N,2
51.5658,-3.7667,302.1,1,1,2024-03-04,0301,Aqua,MODIS,47,61.03,276.7,9.3,N,2
51.8594,-1.1431,309.7,1.1,1,2024-03-05,1315,Aqua,MODIS,60,61.03,284.4,12.1,D,0
50.9039,-1.3892,307.8,1.6,1.2,2024-03-06,1355,Aqua,MODIS,0,61.03,284.7,18,D,2
58.0704,-6.7091,313.1,1.6,1.2,2024-03-07,1301,Aqua,MODIS,57,61.03,283.5,28.3,D,0
51.5432,-1.8724,300.8,1.1,1,2024-03-17,1317,Aqua,MODIS,42,61.03,286.6,4.9,D,0
57.2695,-3.0709,308.9,1,1,2024-03-22,1056,Terra,MODIS,68,61.03,278.6,12.6,D,0
50.469,-4.3236,307.1,1.1,1.1,2024-03-22,1326,Aqua,MODIS,61,61.03,285,12,D,0
54.4156,-1.0279,308.5,1,1,2024-03-22,1327,Aqua,MODIS,67,61.03,281.9,11.6,D,0
57.2666,-3.0674,321.9,1,1,2024-03-22,1328,Aqua,MODIS,81,61.03,279.3,23.9,D,0
56.9325,-2.8495,301.5,1,1,2024-03-22,1328,Aqua,MODIS,47,61.03,281.7,7.4,D,0
57.2688,-3.0513,305,1,1,2024-03-22,1328,Aqua,MODIS,60,61.03,277.8,10.2,D,0
53.5717,-0.6159,311.9,1,1,2024-03-23,2111,Terra,MODIS,84,61.03,277,15.3,N,2
54.4097,-2.0542,304.3,1,1,2024-03-24,1040,Terra,MODIS,58,61.03,281.7,8.7,D,0
50.8273,-0.6119,304.8,1.2,1.1,2024-03-24,1310,Aqua,MODIS,57,61.03,285.9,9.2,D,0
54.8911,-2.1805,304.1,1.1,1,2024-03-24,1312,Aqua,MODIS,44,61.03,281.2,9.4,D,0
54.9096,-1.4812,301.9,1.1,1,2024-03-24,1312,Aqua,MODIS,37,61.03,281.9,7.1,D,2
52.6521,1.2053,301.1,1.1,1,2024-03-28,2116,Terra,MODIS,38,61.03,276.3,10.9,N,0
50.8376,-0.6053,300.4,1.1,1.1,2024-03-29,1047,Terra,MODIS,35,61.03,283,6.6,D,0
50.8319,-0.6227,301.6,1,1,2024-03-29,1319,Aqua,MODIS,36,61.03,286.9,5.3,D,0
50.6966,-2.1457,300.1,1.1,1.1,2024-03-29,1319,Aqua,MODIS,23,61.03,284.4,5.1,D,0
50.7876,-1.8471,306.2,1.1,1,2024-03-29,1319,Aqua,MODIS,43,61.03,284.6,8.8,D,0
50.7966,-1.851,308.6,1.1,1,2024-03-29,1319,Aqua,MODIS,63,61.03,282.7,11.1,D,0
50.8866,-1.8156,300,1.1,1,2024-03-29,1319,Aqua,MODIS,17,61.03,284.6,5.8,D,0
50.8558,-1.882,304.1,1.1,1,2024-03-29,1319,Aqua,MODIS,23,61.03,285.5,6.8,D,0
50.7941,-1.8659,302.4,1.1,1,2024-03-29,1319,Aqua,MODIS,44,61.03,283.6,6.8,D,0
50.902,-1.8383,305.1,1.1,1,2024-03-29,1320,Aqua,MODIS,46,61.03,285.4,8.8,D,0
51.5731,-3.7733,305.5,1.6,1.2,2024-03-31,0331,Aqua,MODIS,64,61.03,274.5,20.6,N,2
51.5687,-3.7592,301,1.6,1.2,2024-03-31,0331,Aqua,MODIS,37,61.03,274.7,16.9,N,2
57.2069,-7.3425,311.1,1,1,2024-04-01,1346,Aqua,MODIS,46,61.03,283,12,D,0
57.2047,-7.3585,328.1,1,1,2024-04-01,1346,Aqua,MODIS,81,61.03,284.1,28.5,D,0
52.6419,-0.5576,307.8,1.1,1,2024-04-05,1313,Aqua,MODIS,66,61.03,288.7,9.7,D,0
53.5652,-0.6129,311.1,1,1,2024-04-05,1313,Aqua,MODIS,62,61.03,288.1,11.3,D,2
52.5105,-0.9259,312.5,1.1,1,2024-04-05,1313,Aqua,MODIS,73,61.03,289.1,13.4,D,0
53.5806,-0.6255,303.6,1,1,2024-04-05,1313,Aqua,MODIS,43,61.03,288.2,6.5,D,2
53.5634,-0.5973,300.4,1.2,1.1,2024-04-07,1018,Terra,MODIS,28,61.03,285.8,6,D,2
57.2446,-2.7834,306.1,1.1,1.1,2024-04-12,1307,Aqua,MODIS,42,61.03,287.9,8.9,D,0
52.9666,-0.4121,306.5,1.1,1,2024-04-15,1047,Terra,MODIS,64,61.03,282.2,11,D,0
53.6009,-0.2015,303.5,1.1,1,2024-04-15,1047,Terra,MODIS,56,61.03,281.5,8.2,D,2
52.9623,-0.0679,302.4,1.1,1.1,2024-04-15,1047,Terra,MODIS,52,61.03,281.9,7.9,D,0
52.9639,-0.3965,307.1,1.1,1,2024-04-15,1047,Terra,MODIS,65,61.03,282.3,11.4,D,0
52.7734,-0.3297,304.9,1.1,1,2024-04-15,1047,Terra,MODIS,57,61.03,282.1,10.7,D,0
52.1102,-0.9173,303.8,1.1,1,2024-04-15,1047,Terra,MODIS,36,61.03,282.3,7.9,D,0
54.5083,-6.1676,314.8,1.1,1,2024-04-15,1331,Aqua,MODIS,67,61.03,283.8,16.8,D,0
54.5055,-6.1836,317.5,1.1,1,2024-04-15,1331,Aqua,MODIS,69,61.03,282.9,19.4,D,0
52.2161,0.9763,305.6,1.2,1.1,2024-04-16,0300,Aqua,MODIS,65,61.03,276.5,13.9,N,0
52.2137,0.9794,319.2,1,1,2024-04-16,2100,Terra,MODIS,98,61.03,276.7,22.3,N,0
