latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-34.3773,-55.2348,316.8,1,1,2024-01-01,1756,Aqua,MODIS,33,61.03,302.3,5.2,D,2
-34.5295,-56.2801,318.5,1.1,1.1,2024-01-01,1756,Aqua,MODIS,61,61.03,303.9,7.8,D,2
-33.39,-56.5262,318.7,1.1,1.1,2024-01-01,1757,Aqua,MODIS,44,61.03,303.6,8.2,D,2
-33.5174,-56.902,320.1,1.2,1.1,2024-01-01,1757,Aqua,MODIS,58,61.03,304.7,9.5,D,2
-34.7298,-56.2189,319.5,1.4,1.2,2024-01-03,1337,Terra,MODIS,54,61.03,297.5,17,D,2
-34.9019,-54.952,312.8,1.7,1.3,2024-01-03,1337,Terra,MODIS,35,61.03,296.5,10.6,D,2
-34.3742,-55.2355,313.5,1.6,1.3,2024-01-03,1337,Terra,MODIS,64,61.03,295.6,13.4,D,2
-34.5194,-56.2841,313.6,1.4,1.2,2024-01-03,1337,Terra,MODIS,60,61.03,298.1,8.5,D,0
-34.5299,-56.2857,312.5,1.4,1.2,2024-01-03,1337,Terra,MODIS,55,61.03,298,7,D,2
-34.7914,-54.9125,310.7,1.7,1.3,2024-01-03,1337,Terra,MODIS,48,61.03,296.4,10.8,D,2
-34.7207,-55.9546,315.5,1.5,1.2,2024-01-03,1337,Terra,MODIS,65,61.03,297.8,12.1,D,2
-34.7236,-55.9609,315.4,1.5,1.2,2024-01-03,1337,Terra,MODIS,48,61.03,297.7,11.7,D,2
-34.7948,-54.9188,315,1.5,1.2,2024-01-03,1741,Aqua,MODIS,63,61.03,300.1,13.3,D,2
-32.3762,-54.1702,319.3,1.3,1.1,2024-01-03,1742,Aqua,MODIS,55,61.03,298.3,13.7,D,2
-33.2329,-54.3827,315,1.1,1,2024-01-05,1320,Terra,MODIS,48,61.03,298.3,8.1,D,2
-33.5335,-58.2123,314.3,1.3,1.1,2024-01-08,1343,Terra,MODIS,52,61.03,300.9,8.4,D,2
-34.337,-56.7139,313.8,1.7,1.3,2024-01-08,1344,Terra,MODIS,61,61.03,300.1,13.6,D,2
-34.7267,-55.9605,318.8,1.3,1.1,2024-01-08,1751,Aqua,MODIS,63,61.03,303,12,D,2
-34.0966,-56.2217,314.9,1.3,1.1,2024-01-08,1752,Aqua,MODIS,38,61.03,295.2,8.8,D,2
-34.4601,-56.397,318.1,1.3,1.1,2024-01-08,1752,Aqua,MODIS,40,61.03,304.2,10.8,D,2
-34.5307,-56.2833,318.9,1.3,1.1,2024-01-08,1752,Aqua,MODIS,66,61.03,300.8,12.1,D,2
-34.7166,-55.9621,316.2,1.3,1.1,2024-01-08,1752,Aqua,MODIS,50,61.03,302.4,8.6,D,2
-33.9365,-56.7029,317.5,1.1,1,2024-01-11,1818,Aqua,MODIS,66,61.03,298.6,9.8,D,0
-34.3809,-55.2351,317.9,1,1,2024-01-13,1802,Aqua,MODIS,39,61.03,304.5,5.3,D,2
-32.3709,-54.1694,317.2,1.6,1.2,2024-01-15,1332,Terra,MODIS,44,61.03,301.2,12.9,D,2
-32.3709,-54.1628,317.7,1.6,1.2,2024-01-15,1332,Terra,MODIS,31,61.03,301.5,12.1,D,2
-34.7236,-55.9609,316.8,1.3,1.1,2024-01-15,1333,Terra,MODIS,40,61.03,301.6,9.8,D,2
-34.7277,-56.2086,318.2,1.3,1.1,2024-01-15,1333,Terra,MODIS,24,61.03,301.6,9.5,D,2
-33.236,-54.3765,313.9,1.6,1.2,2024-01-15,1333,Terra,MODIS,40,61.03,299.7,10.2,D,2
-33.3834,-56.5212,316,1.2,1.1,2024-01-15,1333,Terra,MODIS,19,61.03,302.4,6.3,D,2
-33.5189,-56.8981,315.8,1.2,1.1,2024-01-15,1333,Terra,MODIS,39,61.03,303.1,5.4,D,2
-34.0978,-56.2199,316,1.3,1.1,2024-01-15,1333,Terra,MODIS,64,61.03,300.5,10.7,D,2
-34.0994,-56.2062,313.1,1.3,1.1,2024-01-15,1333,Terra,MODIS,35,61.03,299.8,7.2,D,2
-34.3767,-55.2354,319.2,1.4,1.2,2024-01-15,1333,Terra,MODIS,70,61.03,300.3,16.4,D,2
-34.4783,-54.3343,312,1.6,1.3,2024-01-15,1333,Terra,MODIS,50,61.03,299.8,10.1,D,2
-34.3447,-56.7145,315.4,1.2,1.1,2024-01-15,1333,Terra,MODIS,35,61.03,302.2,7.1,D,2
-34.4544,-56.385,314.7,1.3,1.1,2024-01-15,1333,Terra,MODIS,20,61.03,302.2,7.6,D,2
-34.5272,-56.2776,317.3,1.3,1.1,2024-01-15,1333,Terra,MODIS,64,61.03,301.6,9.6,D,2
-34.7961,-54.9099,313,1.5,1.2,2024-01-15,1333,Terra,MODIS,41,61.03,301.1,9.6,D,2
-34.7169,-55.9534,315.2,1.3,1.1,2024-01-15,1333,Terra,MODIS,23,61.03,301.5,7.1,D,2
-34.7261,-56.2226,318.6,1.3,1.1,2024-01-15,1333,Terra,MODIS,39,61.03,301.6,10,D,2
-34.7958,-54.9226,321.7,1.3,1.1,2024-01-15,1746,Aqua,MODIS,54,61.03,306.9,14.9,D,2
-34.7233,-55.9635,318.6,1.5,1.2,2024-01-15,1746,Aqua,MODIS,46,61.03,305.2,11.1,D,2
-34.4863,-54.3291,316.8,1.2,1.1,2024-01-15,1746,Aqua,MODIS,49,61.03,304.1,8.4,D,2
-34.3756,-55.243,322.9,1.4,1.2,2024-01-15,1746,Aqua,MODIS,40,61.03,306.6,12.6,D,2
-34.3781,-55.234,322.1,1.4,1.2,2024-01-15,1746,Aqua,MODIS,26,61.03,306.3,11.5,D,2
-34.1006,-56.223,319.4,1.5,1.2,2024-01-15,1747,Aqua,MODIS,63,61.03,306.8,14.4,D,2
-33.3852,-56.5271,310.6,1.5,1.2,2024-01-20,1339,Terra,MODIS,38,61.03,299.5,8.8,D,2
-33.5321,-58.2145,312.4,1.2,1.1,2024-01-20,1339,Terra,MODIS,51,61.03,300.9,6.6,D,2
-34.4575,-56.386,311.1,1.6,1.2,2024-01-20,1340,Terra,MODIS,51,61.03,300.7,9,D,2
-34.3772,-55.2418,309.8,1.8,1.3,2024-01-20,1340,Terra,MODIS,51,61.03,297.4,11.6,D,2
-34.3723,-55.2276,308.9,1.8,1.3,2024-01-20,1340,Terra,MODIS,48,61.03,297.5,10.6,D,2
-34.3337,-56.7143,312.8,1.5,1.2,2024-01-20,1340,Terra,MODIS,46,61.03,301.8,8.9,D,2
-34.3446,-56.7159,313.6,1.5,1.2,2024-01-20,1340,Terra,MODIS,52,61.03,301.5,9.8,D,2
-34.5251,-56.2739,310.4,1.6,1.2,2024-01-20,1340,Terra,MODIS,53,61.03,299.7,7.6,D,2
-34.7914,-54.9217,313.8,1,1,2024-01-20,1757,Aqua,MODIS,33,61.03,301.3,5.7,D,2
-34.7291,-56.2228,319.6,1.2,1.1,2024-01-20,1757,Aqua,MODIS,44,61.03,304.8,9.1,D,2
-34.5338,-56.2831,316,1.2,1.1,2024-01-20,1757,Aqua,MODIS,55,61.03,305,6.5,D,2
-34.5242,-56.2849,317,1.2,1.1,2024-01-20,1757,Aqua,MODIS,63,61.03,305.3,7.8,D,2
-34.3744,-55.2447,316.9,1.1,1,2024-01-20,1757,Aqua,MODIS,33,61.03,303.7,6.9,D,2
-34.4562,-56.3928,317.6,1.2,1.1,2024-01-20,1757,Aqua,MODIS,43,61.03,306.1,9.2,D,2
-34.3419,-56.7139,320.1,1.2,1.1,2024-01-20,1757,Aqua,MODIS,49,61.03,307.7,10.7,D,2
-34.0991,-56.2253,316.7,1.1,1.1,2024-01-20,1757,Aqua,MODIS,35,61.03,305.1,7.7,D,2
-33.3847,-56.5271,318.1,1.2,1.1,2024-01-20,1757,Aqua,MODIS,36,61.03,305.8,8.9,D,2
-32.3707,-54.161,313.4,1.2,1.1,2024-01-22,1322,Terra,MODIS,38,61.03,299.1,7,D,2
-34.7191,-55.9577,312.6,1,1,2024-01-22,1323,Terra,MODIS,47,61.03,299.5,5.7,D,2
-34.7891,-54.9141,312.1,1.1,1.1,2024-01-22,1323,Terra,MODIS,44,61.03,298.2,6.3,D,2
-34.4835,-54.3355,311.1,1.2,1.1,2024-01-22,1323,Terra,MODIS,34,61.03,296.9,6.3,D,2
-34.3727,-55.2353,313,1.1,1,2024-01-22,1323,Terra,MODIS,60,61.03,297.4,6.8,D,2
-34.0966,-56.2155,310.8,1,1,2024-01-22,1323,Terra,MODIS,34,61.03,298.6,4.6,D,2
-34.796,-54.9199,314.2,1.6,1.2,2024-01-22,1741,Aqua,MODIS,55,61.03,301.8,11.8,D,2
-34.3752,-55.2422,315.2,1.6,1.3,2024-01-22,1741,Aqua,MODIS,50,61.03,300.7,12.9,D,2
-34.7261,-56.2108,314.1,1.2,1.1,2024-01-27,1329,Terra,MODIS,24,61.03,300.9,5.1,D,2
-34.7161,-55.9583,312.9,1.2,1.1,2024-01-27,1329,Terra,MODIS,37,61.03,301,5.6,D,2
-34.7933,-54.9159,314.2,1.4,1.2,2024-01-27,1329,Terra,MODIS,54,61.03,300,9.4,D,2
-34.525,-56.2803,313.2,1.2,1.1,2024-01-27,1329,Terra,MODIS,47,61.03,301.3,5,D,2
-34.3428,-56.707,313.7,1.1,1.1,2024-01-27,1329,Terra,MODIS,31,61.03,302.7,5.3,D,2
-34.3721,-55.2371,314.9,1.3,1.1,2024-01-27,1329,Terra,MODIS,63,61.03,299.2,9.7,D,2
-34.0953,-56.2143,313.3,1.2,1.1,2024-01-27,1329,Terra,MODIS,49,61.03,299.8,6.2,D,2
-34.9082,-54.9585,320.1,1.2,1.1,2024-01-27,1751,Aqua,MODIS,34,61.03,303.6,8.5,D,2
-34.7928,-54.9186,318.9,1.2,1.1,2024-01-27,1751,Aqua,MODIS,33,61.03,304.8,8.8,D,2
-34.4854,-54.3334,318,1.1,1,2024-01-27,1751,Aqua,MODIS,59,61.03,305.1,7.4,D,2
-34.3824,-55.2329,319,1.2,1.1,2024-01-27,1751,Aqua,MODIS,28,61.03,305.2,7.3,D,2
-34.6797,-56.2217,324,1.1,1,2024-01-30,1817,Aqua,MODIS,66,61.03,310,7.3,D,2
-34.3726,-55.2342,316.6,1.6,1.3,2024-02-01,1335,Terra,MODIS,45,61.03,303.7,9.8,D,2
-34.7195,-55.96,318,1.5,1.2,2024-02-01,1335,Terra,MODIS,44,61.03,303.5,8.1,D,2
-32.0668,-55.5799,339.6,1,1,2024-02-01,1802,Aqua,MODIS,87,61.03,310.5,31.1,D,0
-32.0578,-55.5817,353.6,1,1,2024-02-01,1802,Aqua,MODIS,96,61.03,307.3,59.7,D,0
-32.0593,-55.5922,320,1,1,2024-02-01,1802,Aqua,MODIS,19,61.03,305.9,7.1,D,0
-30.4567,-57.6539,324.1,1.1,1,2024-02-01,1803,Aqua,MODIS,65,61.03,309,10.9,D,0
-32.0532,-55.5704,303.5,1.5,1.2,2024-02-02,0138,Terra,MODIS,56,61.03,290.4,9.6,N,0
-32.0548,-55.5859,325.9,1.5,1.2,2024-02-02,0138,Terra,MODIS,100,61.03,290.9,42.5,N,0
-32.0583,-55.586,315.6,1.5,1.2,2024-02-02,0502,Aqua,MODIS,91,61.03,292.2,26.6,N,0
-32.0613,-55.57,317.4,1.5,1.2,2024-02-02,0502,Aqua,MODIS,95,61.03,291.9,29.6,N,0
-30.4165,-57.2124,323.8,1.7,1.3,2024-02-03,1747,Aqua,MODIS,59,61.03,306,21.5,D,0
