latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
40.0364,66.268,305.2,1.7,1.3,2024-01-18,0841,Aqua,MODIS,61,61.03,286.2,16.4,D,2
40.8645,69.5279,302.8,1,1,2024-01-21,0546,Terra,MODIS,0,61.03,274.3,6.9,D,2
40.8723,69.532,305.7,1,1,2024-01-21,1650,Terra,MODIS,65,61.03,273.1,11.9,N,2
38.4597,65.7871,300.4,1.5,1.2,2024-01-23,0850,Aqua,MODIS,32,61.03,287.9,3.4,D,0
38.4566,65.7708,302.1,1.5,1.2,2024-01-23,0850,Aqua,MODIS,51,61.03,289.3,5,D,0
40.2254,68.2677,303.3,1.1,1,2024-01-23,0851,Aqua,MODIS,56,61.03,289.3,5.5,D,0
39.3428,65.7693,301.6,1.5,1.2,2024-01-24,0932,Aqua,MODIS,48,61.03,281.4,9.1,D,0
40.4146,63.4818,312.7,1,1,2024-01-26,0917,Aqua,MODIS,73,61.03,282.1,12.9,D,0
38.5399,65.9532,301.3,1.2,1.1,2024-02-02,0543,Terra,MODIS,46,61.03,275.9,9.5,D,0
38.4781,65.5231,305.8,1,1,2024-02-02,0910,Aqua,MODIS,62,61.03,283.2,8.4,D,0
40.8599,69.524,306,1.3,1.1,2024-02-02,0911,Aqua,MODIS,63,61.03,282.8,12.8,D,2
40.4826,70.4414,303.3,1.4,1.2,2024-02-02,0911,Aqua,MODIS,48,61.03,281.2,11.1,D,0
37.5897,66.998,301,1.9,1.4,2024-02-06,0839,Aqua,MODIS,43,61.03,286.9,10.3,D,0
37.3295,67.1037,305.3,1.9,1.4,2024-02-06,0839,Aqua,MODIS,40,61.03,286.5,13.8,D,0
40.4512,70.4366,313.1,1.1,1.1,2024-02-06,0840,Aqua,MODIS,73,61.03,283.4,15.6,D,0
40.7084,71.3035,300,1.1,1,2024-02-06,0840,Aqua,MODIS,23,61.03,284.3,5.5,D,0
40.8464,72.7765,301.1,1,1,2024-02-06,0840,Aqua,MODIS,44,61.03,283.7,5.6,D,0
40.8699,69.5398,307.8,1.2,1.1,2024-02-09,0531,Terra,MODIS,62,61.03,286.4,10.1,D,2
40.8715,69.5262,314.5,1.2,1.1,2024-02-09,0531,Terra,MODIS,65,61.03,286.9,16.2,D,2
40.4456,69.1591,301.6,1.2,1.1,2024-02-09,0531,Terra,MODIS,48,61.03,287.6,5.7,D,0
40.2164,68.4677,305.6,1.3,1.1,2024-02-09,0532,Terra,MODIS,62,61.03,286.7,9.7,D,0
40.3446,68.0761,301.8,1,1,2024-02-09,0905,Aqua,MODIS,48,61.03,291.4,3.3,D,0
39.3971,67.3088,303,1,1,2024-02-09,0905,Aqua,MODIS,21,61.03,289.1,3,D,0
39.5163,67.3093,300.9,1,1,2024-02-09,0905,Aqua,MODIS,38,61.03,289,2.2,D,2
40.2484,68.9513,304.9,1.1,1,2024-02-09,0905,Aqua,MODIS,57,61.03,289.4,6.2,D,0
40.2207,68.5949,323.8,1,1,2024-02-09,0905,Aqua,MODIS,82,61.03,292.1,21.1,D,0
40.2227,68.4711,307.5,1,1,2024-02-09,0905,Aqua,MODIS,63,61.03,291.2,6.8,D,0
40.2717,68.4902,306.9,1,1,2024-02-09,0905,Aqua,MODIS,62,61.03,292.3,6.5,D,0
40.3416,68.8107,301.5,1.1,1,2024-02-09,0905,Aqua,MODIS,30,61.03,289.6,3.8,D,0
40.3768,68.8658,311.1,1.1,1,2024-02-09,0905,Aqua,MODIS,70,61.03,289.3,10.7,D,2
40.4329,69.1794,307.3,1.1,1,2024-02-09,0905,Aqua,MODIS,65,61.03,292.5,6.7,D,0
40.6995,71.226,300.1,1.3,1.1,2024-02-09,0905,Aqua,MODIS,27,61.03,289.1,5.2,D,0
40.7097,71.1304,304.1,1.3,1.1,2024-02-09,0905,Aqua,MODIS,58,61.03,289.1,8.8,D,0
40.4725,69.1193,312,1.1,1,2024-02-09,0905,Aqua,MODIS,54,61.03,291.3,10.1,D,2
40.5161,69.1804,307.9,1.1,1,2024-02-09,0905,Aqua,MODIS,66,61.03,291,7.8,D,0
40.4781,68.5176,320,1,1,2024-02-09,0905,Aqua,MODIS,80,61.03,291.3,17.8,D,0
40.4765,68.5056,308.2,1,1,2024-02-09,0905,Aqua,MODIS,67,61.03,290.1,7.6,D,2
40.5729,69.1809,303.5,1.1,1,2024-02-09,0905,Aqua,MODIS,56,61.03,291.6,4.7,D,0
40.4891,68.3912,308.4,1,1,2024-02-09,0905,Aqua,MODIS,67,61.03,289.5,8.5,D,0
40.6416,68.9287,306.1,1.1,1,2024-02-09,0905,Aqua,MODIS,63,61.03,290.9,6.7,D,0
40.6443,68.8771,300.3,1.1,1,2024-02-09,0905,Aqua,MODIS,34,61.03,289.8,3.1,D,0
40.6427,68.8647,302.8,1.1,1,2024-02-09,0905,Aqua,MODIS,54,61.03,289.7,4.7,D,0
40.682,68.8875,304.4,1.1,1,2024-02-09,0905,Aqua,MODIS,59,61.03,288.9,5.8,D,0
40.7121,68.8298,307.5,1.1,1,2024-02-09,0905,Aqua,MODIS,65,61.03,290.9,7.6,D,0
40.6092,67.8487,302.1,1,1,2024-02-09,0905,Aqua,MODIS,50,61.03,290.9,3,D,0
40.7665,68.7611,300.1,1.1,1,2024-02-09,0905,Aqua,MODIS,26,61.03,289.5,2.9,D,2
40.7997,68.7283,314.5,1.1,1,2024-02-09,0905,Aqua,MODIS,75,61.03,290.4,13,D,0
40.866,69.5364,320.2,1.2,1.1,2024-02-09,1636,Terra,MODIS,100,61.03,280.8,26.7,N,2
40.482,69.1589,314.7,1.2,1.1,2024-02-09,1636,Terra,MODIS,90,61.03,281.8,21.1,N,0
40.4725,69.1617,305.2,1.2,1.1,2024-02-09,1636,Terra,MODIS,63,61.03,281.4,12.5,N,0
40.8638,69.5232,304.3,1.2,1.1,2024-02-09,1636,Terra,MODIS,60,61.03,280.3,11.8,N,2
38.481,65.5236,304.4,1.2,1.1,2024-02-10,0612,Terra,MODIS,59,61.03,287.3,7.3,D,0
38.4496,65.529,305.5,1.3,1.1,2024-02-10,0612,Terra,MODIS,61,61.03,289,7.6,D,0
38.4488,65.5231,309.8,1.3,1.1,2024-02-10,0612,Terra,MODIS,69,61.03,288.6,11.4,D,0
38.452,65.5152,301.9,1.2,1.1,2024-02-10,0612,Terra,MODIS,38,61.03,287.3,4.8,D,0
40.871,69.5202,301.5,1.8,1.3,2024-02-10,0612,Terra,MODIS,41,61.03,288.8,9.2,D,2
40.8667,69.5406,302.2,1.8,1.3,2024-02-10,0612,Terra,MODIS,48,61.03,289,10.2,D,2
40.8709,69.5366,303.8,1.8,1.3,2024-02-10,0612,Terra,MODIS,43,61.03,289.4,11.6,D,2
39.345,65.7651,302.5,2.4,1.5,2024-02-10,0946,Aqua,MODIS,41,61.03,285.2,13.9,D,0
41.7602,60.2493,303.4,1.3,1.1,2024-02-10,0947,Aqua,MODIS,50,61.03,289.5,6.3,D,0
37.3114,67.1732,315.3,1.4,1.2,2024-02-11,0849,Aqua,MODIS,0,61.03,295.3,16.4,D,0
