latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-16.2568,168.1069,342,1.3,1.1,2024-01-14,1450,Aqua,MODIS,100,61.03,282.3,67.2,N,0
-16.2468,168.1084,306,1.3,1.1,2024-01-14,1450,Aqua,MODIS,20,61.03,281.6,9.4,N,0
-16.2647,168.1076,318.2,1,1,2024-01-21,2229,Terra,MODIS,65,61.03,289.9,11.8,D,0
-16.2615,168.1096,311.7,1.7,1.3,2024-01-23,2212,Terra,MODIS,38,61.03,285.5,12.9,D,0
-16.2923,168.1198,317.6,1.1,1.1,2024-02-29,2239,Terra,MODIS,55,61.03,301.4,13.4,D,0
-19.525,169.4465,307.4,1,1,2024-03-13,1046,Terra,MODIS,54,61.03,280.7,9.2,N,1
-19.5314,169.446,316.6,1.1,1.1,2024-03-29,0307,Aqua,MODIS,50,61.03,290.7,12.4,D,1
-19.5241,169.4461,314.1,1,1,2024-04-05,2226,Terra,MODIS,43,61.03,297.2,8.7,D,1
-19.5285,169.4507,310.6,1.1,1.1,2024-04-06,1036,Terra,MODIS,71,61.03,293,11.1,N,1
-19.5213,169.4469,311.8,1,1,2024-04-06,1434,Aqua,MODIS,76,61.03,289.8,10.2,N,1
-19.5227,169.4564,311,1,1,2024-04-06,1434,Aqua,MODIS,73,61.03,292.9,9.8,N,1
-16.3031,168.1493,317.5,1.1,1.1,2024-04-12,0254,Aqua,MODIS,26,61.03,303.9,12.5,D,0
-19.5281,169.4457,310.4,1.1,1,2024-04-12,2215,Terra,MODIS,27,61.03,290.9,7.1,D,1
-16.2495,168.1334,321.4,1.1,1,2024-04-22,0311,Aqua,MODIS,74,61.03,294.2,16.1,D,0
-16.2484,168.1403,306.5,1,1,2024-04-23,1443,Aqua,MODIS,46,61.03,293.8,6.8,N,0
-19.5328,169.4439,313.6,1.1,1.1,2024-05-04,0310,Aqua,MODIS,44,61.03,294.8,12.4,D,1
-19.5291,169.4421,310.4,1.1,1,2024-05-06,0254,Aqua,MODIS,27,61.03,293.2,8.7,D,1
-19.5327,169.4469,313.8,1,1,2024-05-11,0302,Aqua,MODIS,0,61.03,294.2,10.5,D,1
-19.5291,169.4444,320.3,1.1,1.1,2024-05-16,0310,Aqua,MODIS,59,61.03,296.4,18,D,1
-19.526,169.4505,318.5,1.2,1.1,2024-05-28,2208,Terra,MODIS,35,61.03,289.6,18.2,D,1
-19.5304,169.4552,311.3,1.2,1.1,2024-05-28,2208,Terra,MODIS,36,61.03,289.4,12.2,D,1
-19.5319,169.4485,316.2,1.2,1.1,2024-05-30,0252,Aqua,MODIS,0,61.03,290.2,17.9,D,1
-19.5274,169.4434,306.1,1.1,1,2024-06-05,1433,Aqua,MODIS,41,61.03,291.1,8.1,N,1
-19.529,169.4536,320.1,1.1,1,2024-06-05,1433,Aqua,MODIS,100,61.03,291.9,20,N,1
-19.531,169.4501,305.6,1.2,1.1,2024-06-11,1051,Terra,MODIS,34,61.03,290.3,7.8,N,1
