latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
13.0313,107.6052,312.4,1,1,2024-01-01,0638,Aqua,MODIS,51,61.03,291.2,6.3,D,0
10.9385,107.9202,310.1,1,1,2024-01-01,0638,Aqua,MODIS,54,61.03,275,6.6,D,0
13.1154,107.6696,326.3,1,1,2024-01-01,0638,Aqua,MODIS,79,61.03,298.7,16.4,D,0
13.7548,107.63,319.5,1,1,2024-01-01,0638,Aqua,MODIS,62,61.03,296.3,9.6,D,0
13.8472,108.5167,320.9,1,1,2024-01-01,0638,Aqua,MODIS,74,61.03,299.5,11.1,D,0
13.4309,107.7517,335.4,1,1,2024-01-01,0638,Aqua,MODIS,86,61.03,301.6,27.5,D,0
13.4322,107.7608,325.8,1,1,2024-01-01,0638,Aqua,MODIS,78,61.03,301.5,14.9,D,0
13.406,107.6436,325.2,1,1,2024-01-01,0638,Aqua,MODIS,77,61.03,296.5,16.4,D,0
13.1631,107.7461,323.9,1,1,2024-01-01,0638,Aqua,MODIS,76,61.03,301.1,12,D,0
13.1644,107.7552,322.3,1,1,2024-01-01,0638,Aqua,MODIS,74,61.03,301.1,10.4,D,0
21.0146,106.9429,312.4,1,1,2024-01-01,0640,Aqua,MODIS,64,61.03,294.6,7.3,D,0
20.2123,105.7448,307.2,1,1,2024-01-01,0640,Aqua,MODIS,32,61.03,293.2,4.2,D,0
19.5783,105.1606,325.8,1.1,1,2024-01-01,0640,Aqua,MODIS,83,61.03,296.5,21.7,D,0
19.5278,105.0773,313.3,1.1,1,2024-01-01,0640,Aqua,MODIS,69,61.03,295,10.2,D,0
19.5741,105.6806,312.5,1,1,2024-01-01,0640,Aqua,MODIS,61,61.03,294.4,7.1,D,0
19.5651,105.6822,313.1,1,1,2024-01-01,0640,Aqua,MODIS,70,61.03,293.6,7.7,D,0
19.5666,105.6918,310.5,1,1,2024-01-01,0640,Aqua,MODIS,62,61.03,292.7,5.8,D,0
19.407,104.9602,315.8,1.1,1,2024-01-01,0640,Aqua,MODIS,70,61.03,294.2,13.4,D,0
19.4086,104.9703,306.6,1.1,1,2024-01-01,0640,Aqua,MODIS,50,61.03,292.2,5.6,D,0
19.2951,105.0643,313.3,1.1,1,2024-01-01,0640,Aqua,MODIS,70,61.03,294,10.2,D,0
19.3013,105.1045,313.2,1.1,1,2024-01-01,0640,Aqua,MODIS,66,61.03,295.4,9.5,D,0
19.2172,104.8692,310.7,1.1,1,2024-01-01,0640,Aqua,MODIS,46,61.03,290.2,9,D,0
18.9811,104.8856,308.2,1.1,1.1,2024-01-01,0640,Aqua,MODIS,42,61.03,294.5,5.8,D,0
18.9527,105.1791,306.7,1.1,1,2024-01-01,0640,Aqua,MODIS,0,61.03,293.9,4.3,D,0
19.7381,105.3608,307.7,1.1,1,2024-01-01,0640,Aqua,MODIS,59,61.03,294,5,D,0
21.3239,103.3478,315.4,1.2,1.1,2024-01-01,0640,Aqua,MODIS,70,61.03,295.4,15.8,D,0
21.3259,103.3599,309.3,1.2,1.1,2024-01-01,0640,Aqua,MODIS,65,61.03,294.3,9,D,0
21.0163,103.2913,315,1.3,1.1,2024-01-01,0640,Aqua,MODIS,73,61.03,296.8,14.3,D,0
21.0183,103.3034,306.3,1.3,1.1,2024-01-01,0640,Aqua,MODIS,37,61.03,293.2,5.8,D,0
20.9849,103.2852,309.8,1.3,1.1,2024-01-01,0640,Aqua,MODIS,39,61.03,296,8.5,D,0
20.9849,103.2908,314.3,1.3,1.1,2024-01-01,0640,Aqua,MODIS,64,61.03,296,13.9,D,0
21.3613,105.7773,308.4,1,1,2024-01-01,0640,Aqua,MODIS,16,61.03,294.3,4.8,D,0
21.5038,107.2723,309.7,1,1,2024-01-01,0640,Aqua,MODIS,44,61.03,294.9,6.7,D,0
20.935,105.2173,308.1,1,1,2024-01-01,0640,Aqua,MODIS,39,61.03,295,5.7,D,0
22.1959,103.3495,316.8,1.2,1.1,2024-01-01,0641,Aqua,MODIS,72,61.03,294.3,13.5,D,0
21.8293,106.1347,318.7,1,1,2024-01-01,0641,Aqua,MODIS,76,61.03,293.7,12.7,D,0
21.8279,106.1252,364.6,1,1,2024-01-01,0641,Aqua,MODIS,100,61.03,295.6,95.7,D,0
22.3228,106.1655,314.7,1,1,2024-01-01,0641,Aqua,MODIS,62,61.03,292.4,10.7,D,0
21.9517,103.5527,306.6,1.2,1.1,2024-01-01,0641,Aqua,MODIS,61,61.03,296.1,5.2,D,0
22.1986,103.342,311.9,1.2,1.1,2024-01-01,0641,Aqua,MODIS,53,61.03,293.8,9.5,D,0
21.5094,103.0393,309,1.3,1.1,2024-01-01,0641,Aqua,MODIS,43,61.03,296.5,8.2,D,0
21.5072,103.0266,318.6,1.3,1.1,2024-01-01,0641,Aqua,MODIS,78,61.03,298.5,18.8,D,0
21.9155,105.531,310.1,1,1,2024-01-01,0641,Aqua,MODIS,61,61.03,292.3,7.2,D,0
22.0366,106.2914,312,1,1,2024-01-01,0641,Aqua,MODIS,68,61.03,294.3,8,D,0
22.0424,106.1445,314.2,1,1,2024-01-01,0641,Aqua,MODIS,71,61.03,293.6,9.5,D,0
22.041,106.135,321.1,1,1,2024-01-01,0641,Aqua,MODIS,79,61.03,293.5,15.6,D,0
22.0959,106.3885,311.6,1,1,2024-01-01,0641,Aqua,MODIS,60,61.03,293.9,8.2,D,0
22.1064,106.1952,306.9,1,1,2024-01-01,0641,Aqua,MODIS,47,61.03,293.5,4.6,D,0
21.9891,105.4032,309.5,1,1,2024-01-01,0641,Aqua,MODIS,55,61.03,288.2,6.6,D,0
22.1644,106.2827,314.5,1,1,2024-01-01,0641,Aqua,MODIS,64,61.03,294.3,10.1,D,0
22.1586,106.1181,309,1,1,2024-01-01,0641,Aqua,MODIS,50,61.03,291.8,5.5,D,0
22.1773,106.1774,310.9,1,1,2024-01-01,0641,Aqua,MODIS,64,61.03,293.4,7,D,0
22.2299,106.3534,311,1,1,2024-01-01,0641,Aqua,MODIS,66,61.03,290.6,9.2,D,0
22.2845,106.608,317.4,1,1,2024-01-01,0641,Aqua,MODIS,75,61.03,295.4,12.3,D,0
22.2831,106.5984,316.6,1,1,2024-01-01,0641,Aqua,MODIS,74,61.03,295.3,11.6,D,0
11.7586,108.7355,303,1,1,2024-01-01,1437,Terra,MODIS,52,61.03,288.1,5,N,0
11.7599,108.7446,313.2,1,1,2024-01-01,1437,Terra,MODIS,87,61.03,288.6,12,N,0
13.7885,108.4969,300.2,1,1,2024-01-01,1438,Terra,MODIS,22,61.03,279.3,5,N,0
13.5615,108.4133,312.8,1,1,2024-01-01,1852,Aqua,MODIS,86,61.03,290,12.1,N,0
12.5356,107.6728,302.1,1,1,2024-01-01,1852,Aqua,MODIS,47,61.03,286.6,6.1,N,0
19.1008,105.5571,310.1,1.4,1.2,2024-01-02,0249,Terra,MODIS,67,61.03,294.1,10.2,D,0
19.3179,105.102,309.9,1.5,1.2,2024-01-02,0249,Terra,MODIS,63,61.03,293.9,11.7,D,0
14.3027,107.7853,310.2,1,1,2024-01-02,0250,Terra,MODIS,53,61.03,297,4.2,D,0
14.261,107.7606,315.1,1,1,2024-01-02,0251,Terra,MODIS,71,61.03,298.7,8.8,D,0
13.7843,107.4753,312.6,1,1,2024-01-02,0251,Terra,MODIS,60,61.03,298,5.4,D,0
13.7533,107.6299,314.5,1,1,2024-01-02,0251,Terra,MODIS,60,61.03,299.5,5.8,D,0
13.6364,107.8017,313.3,1,1,2024-01-02,0251,Terra,MODIS,62,61.03,297.7,5.8,D,0
13.3922,107.7008,318.5,1,1,2024-01-02,0251,Terra,MODIS,71,61.03,299.4,8.1,D,0
11.0091,106.9479,313.7,1,1,2024-01-02,0251,Terra,MODIS,53,61.03,297.6,4.9,D,0
21.115,103.3885,339.8,2.4,1.5,2024-01-02,0722,Aqua,MODIS,91,61.03,295.2,149.4,D,0
21.725,103.1103,312.1,1.3,1.1,2024-01-03,0329,Terra,MODIS,72,61.03,290.1,14.6,D,0
21.7278,103.405,302.9,1.3,1.1,2024-01-03,0329,Terra,MODIS,54,61.03,291.7,5.3,D,0
12.103,108.0123,314.2,1.5,1.2,2024-01-03,0622,Aqua,MODIS,63,61.03,292.4,17.3,D,0
14.1768,108.3269,311,1.4,1.2,2024-01-03,0623,Aqua,MODIS,53,61.03,296.7,11.9,D,0
13.5087,107.8035,320.4,1.5,1.2,2024-01-03,0623,Aqua,MODIS,64,61.03,303.3,14.9,D,0
13.5281,107.8561,318.4,1.5,1.2,2024-01-03,0623,Aqua,MODIS,69,61.03,302,14,D,0
11.9002,106.4304,333,2,1.4,2024-01-03,0623,Aqua,MODIS,86,61.03,296.3,67,D,0
11.9056,106.4431,320.4,2,1.4,2024-01-03,0623,Aqua,MODIS,58,61.03,296.4,24.3,D,0
13.0065,107.6188,314.2,1.6,1.2,2024-01-03,0623,Aqua,MODIS,63,61.03,295.7,14.3,D,0
13.34,107.9702,314.3,1.5,1.2,2024-01-03,0623,Aqua,MODIS,30,61.03,300.3,10.9,D,0
13.3481,107.8156,337.3,1.5,1.2,2024-01-03,0623,Aqua,MODIS,88,61.03,301.8,58.8,D,0
13.3538,107.8221,333.9,1.5,1.2,2024-01-03,0623,Aqua,MODIS,86,61.03,300.8,48.4,D,0
