latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-26.3261,31.5515,320.2,1.1,1,2024-01-07,1216,Aqua,MODIS,47,61.03,300.3,9.9,D,0
-26.5014,31.0939,308.1,3.4,1.7,2024-01-25,1134,Aqua,MODIS,40,61.03,292.9,32,D,0
-26.654,30.85,318.1,1,1,2024-01-26,1216,Aqua,MODIS,59,61.03,301.8,7.1,D,0
-26.7914,30.9297,308.8,3.5,1.8,2024-01-29,0813,Terra,MODIS,21,61.03,289.5,25.5,D,0
-26.7972,30.9359,309.3,3.5,1.8,2024-01-29,0813,Terra,MODIS,33,61.03,290,28.8,D,0
-27.0965,31.0606,316.5,1.8,1.3,2024-01-31,0756,Terra,MODIS,75,61.03,292.2,25.9,D,0
-27.155,31.2802,319.1,1.3,1.1,2024-02-07,0746,Terra,MODIS,71,61.03,301.3,14.8,D,0
-26.4176,30.9899,321.6,1.2,1.1,2024-02-07,0746,Terra,MODIS,75,61.03,301.8,19.4,D,0
-26.5823,30.9036,328.7,1,1,2024-02-07,1220,Aqua,MODIS,75,61.03,307.8,18.6,D,0
-25.8951,31.2237,351.7,1.1,1,2024-02-07,1220,Aqua,MODIS,95,61.03,300.6,65.5,D,0
-25.9613,31.3323,372.7,1.1,1,2024-02-07,1220,Aqua,MODIS,100,61.03,305.8,130.9,D,0
-26.5839,30.8933,365.1,1,1,2024-02-07,1220,Aqua,MODIS,100,61.03,308.3,96.8,D,0
-26.0031,31.1753,337.2,1,1,2024-02-14,1214,Aqua,MODIS,86,61.03,300.8,32,D,0
-26.0121,31.1769,326.9,1,1,2024-02-14,1214,Aqua,MODIS,74,61.03,301.3,18.4,D,0
-26.6451,30.938,365.2,1,1,2024-02-14,1214,Aqua,MODIS,100,61.03,307.5,95.7,D,0
-25.9853,31.1719,317.3,1,1,2024-02-14,1214,Aqua,MODIS,43,61.03,297.2,9.6,D,0
-26.4244,30.9716,331,3.9,1.8,2024-02-15,0815,Terra,MODIS,84,61.03,293.4,184.9,D,0
-26.4213,31.0205,323,3.9,1.8,2024-02-15,0815,Terra,MODIS,78,61.03,293.1,124.4,D,0
-26.4184,30.9796,335.7,3.9,1.8,2024-02-15,0815,Terra,MODIS,88,61.03,293.8,235.8,D,0
-25.9788,31.3319,310.9,4.1,1.9,2024-02-15,0815,Terra,MODIS,53,61.03,294.3,52.2,D,0
-25.9745,31.3396,314.4,4.1,1.9,2024-02-15,0815,Terra,MODIS,64,61.03,294.5,70.5,D,0
-26.427,31.0127,325.1,3.9,1.8,2024-02-15,0815,Terra,MODIS,79,61.03,293,135.9,D,0
-26.9821,30.9676,343.1,1.1,1.1,2024-02-21,0724,Terra,MODIS,92,61.03,295,49.6,D,0
-26.4234,31.0015,323.9,1.1,1.1,2024-02-21,0724,Terra,MODIS,78,61.03,295.8,21.1,D,0
-26.4216,30.9907,345.7,1.1,1.1,2024-02-21,0724,Terra,MODIS,93,61.03,298.1,59.3,D,0
-26.431,30.9887,310.5,1.1,1.1,2024-02-21,0724,Terra,MODIS,24,61.03,294.5,7,D,0
-26.9803,30.9565,353,1.1,1.1,2024-02-21,0724,Terra,MODIS,97,61.03,296.8,73.5,D,0
-26.9897,30.9548,319.4,1.1,1.1,2024-02-21,0724,Terra,MODIS,73,61.03,295.1,14.4,D,0
-25.9443,31.2946,338.1,1,1,2024-02-21,1208,Aqua,MODIS,87,61.03,299.6,36,D,0
-26.651,30.8925,330.1,1.1,1,2024-02-21,1208,Aqua,MODIS,80,61.03,301.2,25.1,D,0
-26.6603,30.894,322.9,1.1,1,2024-02-21,1208,Aqua,MODIS,70,61.03,302.6,16.3,D,0
-26.4634,31.0466,316,2.3,1.5,2024-03-01,1146,Aqua,MODIS,67,61.03,296.1,35,D,0
-26.4558,31.0184,333.6,2.3,1.5,2024-03-01,1146,Aqua,MODIS,86,61.03,296.3,98.6,D,0
-26.4536,31.0403,328.7,2.3,1.5,2024-03-01,1146,Aqua,MODIS,82,61.03,298.1,74.7,D,0
-26.4655,31.0243,346.2,2.3,1.5,2024-03-01,1146,Aqua,MODIS,93,61.03,297.8,172.3,D,0
-26.2206,32.0167,329.7,1.4,1.2,2024-03-02,1227,Aqua,MODIS,80,61.03,304.8,29,D,0
-25.9919,31.1927,315.9,1.2,1.1,2024-03-04,0719,Terra,MODIS,69,61.03,293.9,14.6,D,0
-27.1163,31.2816,363.5,1.2,1.1,2024-03-04,0720,Terra,MODIS,100,61.03,299.2,115.3,D,0
-27.1145,31.2702,359.8,1.2,1.1,2024-03-04,0720,Terra,MODIS,99,61.03,300,102.8,D,0
-27.0145,30.9721,320.8,1.2,1.1,2024-03-04,0720,Terra,MODIS,74,61.03,294.8,17.8,D,0
-27.0119,30.9667,357.3,1.2,1.1,2024-03-04,0720,Terra,MODIS,98,61.03,296.2,99.4,D,0
-26.4927,30.9767,313.7,1.6,1.2,2024-03-06,1156,Aqua,MODIS,47,61.03,295.8,16.7,D,0
-26.4909,30.993,353.4,1.6,1.2,2024-03-06,1156,Aqua,MODIS,97,61.03,299.6,129.6,D,0
-26.6198,30.8526,316.7,1.6,1.3,2024-03-06,1156,Aqua,MODIS,58,61.03,297.1,21.1,D,0
-26.5882,30.9318,318.3,1.6,1.2,2024-03-06,1156,Aqua,MODIS,64,61.03,294,24.3,D,0
-25.9631,31.3354,333.9,1.5,1.2,2024-03-06,1156,Aqua,MODIS,83,61.03,299.3,48.6,D,0
-25.9756,31.3218,323.3,1.5,1.2,2024-03-06,1156,Aqua,MODIS,70,61.03,295.7,27.3,D,0
-25.9739,31.3365,345,1.5,1.2,2024-03-06,1156,Aqua,MODIS,92,61.03,298.1,82.5,D,0
-26.3723,31.0326,341.1,1.6,1.2,2024-03-06,1156,Aqua,MODIS,90,61.03,300,77,D,0
-26.3706,31.0479,357.7,1.6,1.2,2024-03-06,1156,Aqua,MODIS,98,61.03,301.1,144,D,0
-26.403,30.9591,390,1.6,1.2,2024-03-06,1156,Aqua,MODIS,100,61.03,301.3,380.9,D,0
-26.4012,30.9747,412.3,1.6,1.2,2024-03-06,1156,Aqua,MODIS,100,61.03,302,648.6,D,0
-26.414,30.961,313.9,1.6,1.2,2024-03-06,1156,Aqua,MODIS,40,61.03,295.1,14.2,D,0
-26.4123,30.9763,323.1,1.6,1.2,2024-03-06,1156,Aqua,MODIS,73,61.03,298.5,32.6,D,0
-25.9334,31.2808,321.2,1.5,1.2,2024-03-06,1156,Aqua,MODIS,65,61.03,297.9,24.4,D,0
-25.9317,31.2957,317.1,1.5,1.2,2024-03-06,1156,Aqua,MODIS,49,61.03,295.9,17.1,D,0
-25.9648,31.3204,320.9,1.5,1.2,2024-03-06,1156,Aqua,MODIS,65,61.03,298,21.7,D,0
-26.4205,30.9942,371.6,1.4,1.2,2024-03-12,0749,Terra,MODIS,0,61.03,270.5,208.5,D,0
-26.4522,31.8569,315.3,1,1,2024-03-16,1214,Aqua,MODIS,55,61.03,302.3,5.4,D,0
-27.0513,31.2042,315.6,1.8,1.3,2024-03-19,1239,Aqua,MODIS,50,61.03,299.6,18.5,D,0
-27.0587,31.2135,318.3,1.8,1.3,2024-03-19,1239,Aqua,MODIS,65,61.03,301.1,23.7,D,0
-27.1271,31.2728,314.5,1.8,1.3,2024-03-19,1239,Aqua,MODIS,50,61.03,299.7,17.2,D,0
